Age,Total_Both_sexes,Total_Male,Total_Female,White_Both_sexes,White_Male,White_Female,Nonwhite_Both_sexes,Nonwhite_Male,Nonwhite_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,97639,97348,97945,97945,97664,98242,96142,95778,96514
2,97492,97129,97869,97839,97443,98058,95742,95351,96141
3,97404,97093,97730,97742,97376,98002,95635,95234,96045
4,97335,97018,97667,97680,97315,96920,95554,95150,95957
5,97270,96934,97614,97626,97259,97913,95471,95048,95901
6,97216,96877,97569,97570,97243,97913,95471,95048,95901
7,97166,96818,97529,97525,97187,97875,95405,94972,95846
8,97125,96773,97494,97485,97144,97842,95358,94913,95800
9,97092,96736,97463,97453,97111,97815,95308,94866,95760
10,97063,96708,97435,97426,97093,97787,95269,94823,95724
11,97035,96676,97409,97400,97065,97765,95230,94779,95690
12,97004,96643,97384,97372,97023,97739,95188,94729,95655
13,96969,96598,97357,97338,96981,97713,95138,94669,95618
14,96923,96538,97325,97294,96923,97665,95078,94590,95576
15,96863,96462,97287,97236,96846,97647,95008,94435,95527
16,96768,96358,97241,97163,96747,97603,94916,94373,95470
17,96696,96231,97188,97076,96625,97551,94610,94228,95404
18,96595,96067,97129,96977,96485,97494,94687,94058,95328
19,96484,95928,97065,96870,96332,97435,94547,93865,95244
20,96368,95759,97002,96759,96170,97376,94389,95149,95149
21,96246,95379,96937,96645,96000,97317,94215,95392,95043
22,96113,95389,96870,96527,95822,97257,94018,95116,94925
23,95988,95134,96801,96406,95641,97197,93807,95817,94797
24,95857,95000,96750,96290,95464,97135,93593,92502,94639
25,95720,94811,96686,96174,95294,97072,93380,93179,94512
26,95596,94628,96580,96061,95133,97007,93107,91639,94357
27,95471,94451,96501,95951,94978,96941,92654,91488,94192
28,95346,94277,96415,95842,94830,96872,92597,91092,94131
29,95210,94102,96328,95731,94682,96798,92504,90744,93817
30,95072,93922,96232,95616,94531,96719,92001,90344,93601
31,94997,93735,96128,95496,94376,96654,91677,90323,93363
32,94774,93541,96007,95378,94048,96643,90962,89491,93103
33,94612,93339,95935,95238,94048,96445,90962,89017,92820
34,94440,93126,95765,95097,93871,96341,90571,88630,92615
35,94268,92908,95624,94947,93868,96240,90157,88196,93182
36,94063,92659,95475,94786,93479,96111,89719,87461,91837
37,93854,92400,95315,94612,93259,96383,89255,86916,91461
38,93629,92089,95143,94217,93019,96019,88234,86340,91091
39,93384,91817,94956,94216,92758,95691,88234,85680,90629
40,93118,91488,94753,93590,92473,95523,87671,84999,90171
41,92829,91130,94532,93742,92161,95338,87069,84871,89683
42,92514,90739,94293,93442,91818,95134,86674,83701,89175
43,92171,90313,94029,93169,91441,94910,85742,82670,88612
44,91797,89848,93744,92840,91027,94685,85013,81793,88019
45,91392,89343,93435,92460,90571,94374,84056,80888,87396
46,90948,88790,93100,92084,90070,94107,83411,79900,86898
47,90467,88188,92738,91651,89519,93780,82653,78871,85966
48,89946,87532,92354,91168,88912,93446,81788,77788,85358
49,89373,86813,91925,90654,88243,93072,80634,76652,84378
50,88753,86025,91472,90081,87503,92667,79817,75462,83553
51,88080,85167,90986,89454,86699,92229,78558,74221,82658
52,87331,84233,90471,88713,85771,91706,76894,72936,81741
53,86501,83217,89905,88025,84824,91245,76284,71563,80778
54,85705,82112,89304,87215,83760,90695,75042,70115,79754
55,84779,80913,88660,86137,82601,90104,73734,68576,78659
56,83779,79615,87967,85385,81344,89467,72289,66921,77484
57,82702,78217,87223,84369,79886,88781,70769,65167,76227
58,81549,76723,86427,83256,78330,88045,69171,63340,74892
59,80325,75140,85580,82080,76978,87262,67519,61478,73486
60,79029,73471,84681,80850,75333,86429,65827,59607,72011
61,77664,71722,83729,79505,73596,85544,64116,57753,70484
62,76224,69868,82715,78102,71765,84599,62574,55900,68895
63,74658,67958,81602,76587,69694,83578,60584,53818,67189
64,73056,65916,80429,75013,67794,82463,59548,51918,65318
65,71282,63756,79118,73316,65872,81239,58336,49798,63301
66,69415,61462,77601,71482,63372,79898,53692,47140,60889
67,67413,59062,76118,69546,61000,78437,51250,44450,58949
68,65232,56563,74462,67418,58275,75068,44943,42175,56312
69,63085,53994,72628,65330,55364,75126,45790,38697,53094
70,60781,51342,70711,63051,53116,71382,43200,36252,50615
71,58392,48646,68682,60660,50590,71382,40771,33756,48309
72,55921,45765,66537,58162,47797,69114,37486,31256,46104
73,53371,43061,64076,55519,44858,65889,34363,29177,44106
74,50757,40365,61870,52882,42101,64371,34243,27076,42095
75,48078,37697,59564,50122,39240,61386,31771,24084,41084
76,45524,34678,56864,47290,35407,59020,30223,23188,38029
77,42564,32187,53662,44400,33598,56123,28287,21425,35972
78,39747,29542,50938,41460,30825,53085,26425,19772,33957
79,36902,26949,47902,38478,28094,49915,24656,18245,31657
80,34048,24435,44748,35488,25462,46862,22699,16990,29454
81,31172,21950,41528,32433,22799,43214,21421,15547,28224
82,28306,19564,38306,29397,20281,39703,19250,14339,26458
83,25460,17189,35108,26371,17914,36098,17018,12560,24702
84,22638,15062,31325,23392,15493,32412,17018,12027,22923
85,19685,13017,27744,20440,13310,28656,15476,10819,21018
