Age,Total_Both_sexes,Total_Male,Total_Female,White_Both_sexes,White_Male,White_Female,Nonwhite_Both_sexes,Nonwhite_Male,Nonwhite_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,97761,97486,98050,98056,97768,98318,95417,95080,95781
2,97629,97343,97929,97923,97645,98215,95192,95636,96554
3,97544,97249,97853,97847,97563,98147,96069,95699,96437
4,97479,97175,97799,97789,97494,98097,95969,95694,96360
5,97424,97113,97751,97737,97436,98053,95891,95498,96251
6,97369,97039,97707,97662,97367,98012,95810,95395,96176
7,97318,96982,97669,97657,97313,97976,95747,95319,96178
8,97279,96939,97635,97600,97272,97944,95697,95284,96134
9,97247,96905,97605,97570,97240,97916,95656,95221,96098
10,97219,96876,97579,97544,97213,97888,95620,95184,96082
11,97192,96847,97552,97519,97185,97868,95594,95146,96023
12,97163,96813,97530,97491,97154,97845,95544,95101,95993
13,97127,96768,97503,97457,97112,97812,95473,95043,95960
14,97081,96703,97472,97413,97054,97750,95439,94957,95916
15,97021,96628,97434,97355,96978,97754,95365,94870,95887
16,96945,96525,97389,97284,96876,97711,95275,94748,95810
17,96856,96399,97336,97197,96754,97650,95167,94599,95743
18,96753,96254,97277,97098,96613,97604,95040,94421,95667
19,96641,96094,97214,96991,96460,97543,94894,94215,95581
20,96524,95923,97150,96880,96288,97486,94750,93992,95478
21,96401,95743,97067,96648,96128,95786,94547,93719,95376
22,96273,95550,97016,96648,95950,97365,94345,93427,95260
23,96142,95343,96946,96529,95769,97304,94126,93111,95131
24,96010,95157,96875,96411,95591,97242,93894,92778,94993
25,95879,94965,96802,96295,95421,97179,93652,92432,94848
26,95750,94730,96728,96183,95259,97118,93401,92075,94690
27,95622,94600,96651,96075,95104,97051,"93,139",91705,94533
28,95493,94423,96571,95965,94954,96985,92856,91321,94358
29,95368,94245,96489,95856,94806,96915,92572,90860,94185
30,95225,94062,96394,95744,94656,96841,92259,90499,"93,950"
31,95082,93974,96295,95628,94502,96783,91924,90058,"93,711"
32,94932,93680,96188,95507,94344,96679,91567,89596,"93,448"
33,94778,93373,96073,95379,94177,96578,91196,89119,"93,162"
34,94603,93362,95947,95242,94002,96490,90767,88607,92654
35,94420,93018,95810,95093,93612,96393,90286,88093,92535
36,94223,92797,95681,94931,93605,96263,89921,87630,92173
37,94009,92522,95498,94753,"93,380",96132,89452,86954,91797
38,93778,92238,95322,94559,"93,135",95996,88856,86347,91390
39,93530,91927,95132,94348,92870,95832,88450,85702,90975
40,93262,91534,94927,94119,92583,95662,87870,85013,90529
41,92973,91335,94707,93871,"92,271",95477,87273,84275,90059
42,92660,90945,94470,93604,91993,"95,276",86658,83489,89579
43,92343,90521,94214,93304,91657,"95,066",85996,82657,89038
44,91952,89859,93956,92978,91148,94815,85256,81787,88478
45,91552,89456,93643,92619,90692,94489,84506,80878,87868
46,91112,88908,93304,92524,90191,94280,83721,79842,87239
47,90635,88310,92946,91790,89639,93943,82891,78962,86556
48,87068,87680,92559,91315,89082,93564,82015,77932,85828
49,89553,86945,92142,90795,88365,93225,81081,76840,85056
50,88940,86167,91695,90228,87632,92822,80090,75675,84239
51,88276,85380,91215,89610,86831,92399,79038,74435,83576
52,87517,84467,90699,89101,85987,91906,77922,73125,82503
53,86779,83399,90146,88209,85003,91419,76742,71733,81493
54,85937,82314,89851,87416,83963,90677,75488,70268,80460
55,84958,81066,89003,86553,82848,90049,74059,68795,79399
56,84043,79869,88224,85623,81803,89663,72742,67068,78181
57,82995,78502,87460,84616,80378,88616,71297,65878,76928
58,81852,77040,86694,83533,78853,88254,69674,64898,75533
59,80645,75463,85853,82372,77324,87476,68098,61782,74205
60,79363,73851,84960,81132,75892,86647,66401,59951,72758
61,78005,72084,84014,79810,73954,85764,64722,58120,71284
62,76589,70345,83001,78477,72405,84844,62967,56146,69773
63,75039,68303,81926,76906,70155,83602,61220,54379,68073
64,73614,66266,80749,75216,68124,82593,59286,52360,66265
65,71983,64129,79441,73628,65890,81488,57164,50190,64255
66,69848,61900,78056,71843,63770,"80,189",54844,47829,62026
67,67905,"59,588",76532,69869,63072,79679,52268,45810,59810
68,65857,57171,74888,67967,59079,77187,49764,42760,57063
69,63699,54681,73126,65854,56578,75504,47155,40135,54549
70,61432,52052,71247,63613,53962,73682,44597,37539,52057
71,59056,49346,69249,61263,51243,72156,42021,34932,49183
72,56579,46511,66451,58552,48405,68514,39495,32186,47446
73,54016,43727,64890,56154,45515,67365,37365,30039,45254
74,51389,40962,62523,53686,42771,65143,35118,27619,43218
75,48711,38090,60030,50719,39715,62403,33016,25605,41069
76,45988,35341,57413,47811,36862,59707,31008,23647,39060
77,43247,32651,54674,45063,34054,56955,29123,21665,37107
78,40470,30018,51618,44139,32591,55765,27131,19736,35213
79,37617,27389,48839,39265,29657,52763,25633,18189,33515
80,34941,24817,45776,36227,25904,"47,554",24027,17346,31595
81,32227,22302,43102,33168,23153,44435,22315,15945,29535
82,29163,20069,39335,30220,20757,40757,20994,14611,28113
83,26335,17777,35980,27228,19523,37212,19519,13625,26332
84,23561,15344,32158,24139,17013,32894,17828,12194,24521
85,20798,13595,29032,21374,13696,29696,16496,11344,22565
