Age,Total_Both_sexes,Total_Male,Total_Female,White_Both_sexes,White_Male,White_Female,All_other_Both_sexes,All_other_Male,All_other_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,97823,97549,98110,98081,97814,98363,96548,96222,96886
2,97689,97408,97984,97893,97693,98255,96324,95963,96676
3,97605,97315,97909,97891,97611,98187,96194,95836,96563
4,97540,97243,97851,97832,97546,98136,96096,95728,96475
5,97486,97181,97805,97782,97488,98093,96022,95646,96410
6,97425,97101,97760,97724,97412,98051,95941,95543,96349
7,97375,97041,97721,97677,97356,98014,95871,95470,96283
8,97355,96997,97687,97639,97314,97981,95826,95410,96254
9,97303,96953,97657,97609,97282,97953,95784,95368,96216
10,97275,96935,97630,97583,97255,97928,95746,95324,96181
11,97248,96906,97605,97558,97230,97905,95707,95284,96147
12,97219,96871,97580,97533,97199,97882,95664,95229,96112
13,97182,96855,97553,97497,97156,97856,95612,95161,96063
14,97134,96768,97521,97452,97097,97828,95545,95073,96029
15,97072,96678,97482,97393,97017,97789,95465,94960,95979
16,96993,96569,97435,97318,96914,97744,95362,94818,95921
17,96898,96436,97380,97227,96788,97691,95241,94646,95853
18,96789,96282,97318,97123,96641,97632,95100,94442,95775
19,96670,96111,97253,97011,96479,97570,94939,94208,95687
20,96545,95927,97186,96894,96307,97508,94760,93945,95589
21,96414,95731,97115,96773,96125,97446,94581,93692,95479
22,96277,95523,97048,96648,95933,97384,94342,93359,95358
23,96137,95309,96977,96522,95738,97321,94106,92980,95225
24,95996,95096,96904,96397,95546,97258,93857,92615,95082
25,95659,94891,96829,96275,"95,364",97194,93597,92239,94929
26,95722,94695,96752,96159,95183,97129,93327,91857,94766
27,"95,588",94502,96673,96045,95032,97063,93046,91457,94592
28,"95,455",94322,96580,95933,94877,96995,92751,91046,94405
29,95318,94137,96503,95821,94725,96924,92438,90616,94202
30,95178,93948,96410,95706,94570,96850,92102,90162,93981
31,95050,93762,96310,95587,94418,96771,91877,89685,93741
32,94975,93550,96203,95463,94250,96686,91375,89178,93480
33,94756,93332,96086,95329,94081,96597,91084,88634,93198
34,94538,93116,95960,95194,93902,96494,90584,88096,92893
35,94351,92879,95822,95043,93710,96385,90109,87520,92564
36,94149,92628,95671,94879,93503,96265,89639,86920,92210
37,93931,92354,95508,94700,93278,96132,89142,86293,91829
38,93691,92063,95336,94519,93034,95984,88554,85581,91413
39,93440,91745,95153,94285,92766,95828,88066,84937,90980
40,93164,91404,94920,94061,92478,95654,87459,84198,90509
41,92665,91034,94651,93608,92161,95465,86822,83413,90005
42,92163,90643,94365,93150,91832,95248,86113,82544,89476
43,92189,90195,94175,93226,91431,95032,85425,81703,88893
44,91807,89720,93885,92695,91012,94784,84667,80779,88285
45,91392,89203,93571,92627,90551,94613,83867,79811,87643
46,90745,88633,93251,92169,90045,94217,83217,79324,87153
47,90453,88029,92864,91688,89489,93894,82135,77733,86246
48,89823,87362,92468,91208,88877,93543,81199,76617,85469
49,89341,86634,92042,90698,88154,93163,80283,75438,84693
50,88721,85840,91583,90108,87463,92751,79182,74220,83655
51,88048,84976,91050,89499,86649,92326,78098,73358,82972
52,87307,84038,90560,88790,85759,91825,76961,71592,82044
53,86507,83032,90065,87998,84798,91279,75794,70188,81092
54,85656,81918,89563,87256,83732,90750,74493,68696,80024
55,84732,80728,88731,86362,82587,90152,73148,67128,78918
56,83738,79447,88032,85420,81331,89510,71721,65475,77739
57,82871,78075,87405,84405,80020,88821,70211,63739,76484
58,81521,76599,86479,83515,78589,88081,68620,61926,75150
59,80300,75020,85621,82140,77046,87288,66954,60046,73757
60,78987,73332,84705,80878,75389,86437,65213,58105,72243
61,77886,71832,83725,79523,73612,85525,63406,56132,70677
62,76094,69695,82562,77949,71719,84590,61456,53632,69058
63,74509,67610,81548,76532,69718,83468,59563,51948,67275
64,72827,65304,80329,74898,67822,82347,57474,49764,65356
65,71050,63511,79007,73173,65440,81134,55247,47412,63247
66,69222,61745,77577,71360,63146,79785,52884,45131,61261
67,67214,59699,76037,69456,60652,78349,50398,42666,58458
68,65148,58270,74581,67417,58498,76798,47854,40205,55668
69,62468,55905,72804,65315,55698,75136,45228,37672,53253
70,60688,51095,70704,63049,53243,73556,42626,35104,50678
71,56252,48340,66678,60647,50465,71309,40035,32496,48163
72,55727,45495,66528,58119,47585,69185,37466,29873,45708
73,52580,42647,64483,55435,44640,66908,34969,27312,43527
74,50439,39713,63842,52761,41681,64476,32602,24909,41050
75,47724,36873,59513,49975,38749,61894,30407,22734,38684
76,44981,34105,55662,47153,35868,59153,28397,20810,36833
77,42127,31414,51887,44693,32898,56042,26270,19145,34599
78,39434,28796,51011,41325,30275,53277,24870,17627,33058
79,36654,26245,48023,38368,27564,50138,23291,16275,31260
80,33821,23758,44934,35397,24914,46821,21788,15021,29530
81,31004,21342,41755,32395,22135,43519,20331,13851,27821
82,28182,19102,38469,29411,19847,40054,18894,12684,26100
83,25416,16794,35151,26458,17480,36532,17459,11574,24334
84,22687,14721,31780,23584,15871,32939,16007,10562,22481
85,20037,12836,28297,20782,13268,29305,14533,9509,20510
