AGE,TOTAL_BOTH_SEXES,TOTAL_MALE,TOTAL_FEMALE,WHITE_BOTH_SEXES,WHITE_MALE,WHITE_FEMALE,ALL_OTHER_BOTH_SEXES,ALL_OTHER_MALE,ALL_OTHER_FEMALE
0,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,98169,97940,98409,98397,98176,98630,96814,97093,97382
2,98052,97813,98303,98295,"98,064",98538,96903,96611,97204
3,97969,97720,98230,98220,97979,98473,96780,96478,97091
4,97904,97667,98172,98159,97910,98421,96691,96386,97005
5,97852,97588,98128,98109,97853,98378,96628,96313,96952
6,97791,97511,98084,98053,97783,98337,96541,96196,96892
7,97743,97454,98045,97996,97729,98300,96492,96124,96846
8,97706,97413,98012,97971,97689,98267,96441,96083,96805
9,97676,97383,97983,97941,97658,98239,96411,96058,96772
10,97651,97359,97957,97916,97633,98214,96385,96037,96742
11,97626,97334,97933,97892,97608,98191,96358,96012,96713
12,97598,97308,97908,97865,97578,98168,96324,95974,96682
13,97563,97260,97881,97831,97536,98142,96279,95919,96648
14,97516,97198,97849,97786,97477,98111,96221,95843,96608
15,97453,97113,97810,97725,97395,98073,96147,95696,96561
16,97373,97002,97762,97647,97287,98027,96055,95616,96505
17,97276,96865,97706,97553,97154,97973,95942,95458,96439
18,97164,96706,97644,97445,97001,97913,95807,95264,96363
19,97042,96530,97578,97330,96834,97851,95646,95028,96277
20,96914,96341,97511,97211,96660,97788,95459,94748,96180
21,96779,96139,97442,97089,96479,97726,95244,94419,96072
22,96637,95926,97371,96964,96291,97663,95002,94045,95952
23,96492,95707,97299,96837,96100,97600,94739,93638,95823
24,96347,95490,97226,96712,95913,97537,94466,93216,95686
25,96205,95280,97152,96590,95733,97474,94189,92791,95542
26,95934,95080,97077,96473,95400,97345,93910,91943,95392
27,95934,94888,97001,96359,95400,97345,93626,91943,95234
28,95801,94701,96922,96247,95244,97279,93336,91514,95068
29,95666,94515,96839,96139,95090,97209,93037,91074,94892
30,95526,94325,96750,96020,94934,97135,92725,90623,94704
31,95381,94128,96654,95900,94776,97060,92400,90157,94504
32,95229,93928,96551,95777,94614,96971,92061,89678,94290
33,95069,93719,96440,95648,94447,96879,91705,89180,94061
34,94908,93501,96321,95508,94273,96780,91329,88615,93815
35,94732,93271,96193,95367,94089,96674,90930,88107,93551
36,94531,93027,96055,95212,93893,96560,90506,87523,93266
37,94326,92766,95905,95045,93683,96433,90034,87016,92959
38,94105,92486,95742,94863,93455,96300,89574,86257,92627
39,93866,92185,95578,94665,93207,96151,89064,85578,92266
40,93637,91869,95369,94447,92935,95987,88523,84870,91873
41,93325,91508,95156,94208,92637,95808,87950,84134,91446
42,93019,91127,94924,93948,92309,95606,87457,83365,90984
43,92635,90711,94671,93655,91946,95395,86696,82594,90486
44,92313,90293,94395,93334,91543,95157,86002,81689,89950
45,91975,89749,94094,93079,91270,94925,85357,80757,89376
46,91475,89194,93765,92586,90598,94605,84456,79765,88762
47,90993,88585,93403,92153,90048,94289,83600,78702,88107
48,90489,87922,93023,91691,89445,93944,82694,77411,87411
49,89909,87208,92013,91171,88790,93576,81740,76411,86677
50,89310,86443,92178,90622,88082,93180,80749,75204,85904
51,88671,85625,91718,90033,87319,92769,79720,73964,85093
52,87988,84749,91229,89399,86494,92325,78649,72684,84241
53,87291,83801,90704,88768,85497,91850,77426,71350,83341
54,86454,82775,90137,87961,84616,91328,76336,69941,82385
55,85584,81654,89520,87138,83540,90759,75069,68443,81368
56,84638,80436,88350,86237,82365,90136,73722,66850,80286
57,83614,79121,85124,85258,81090,89457,72298,65171,79139
58,82512,77706,87344,84199,79711,88725,70804,63421,77927
59,81332,76189,86512,83060,78224,88042,69351,61621,76652
60,80073,74569,85627,81840,76627,87110,67648,59789,75314
61,78785,73044,84687,80475,74917,85993,65993,57930,73907
62,77309,71015,83685,79146,73095,85280,64285,56040,72430
63,75892,69086,82615,77668,71166,84269,62528,54120,70890
64,74307,67061,81975,76146,69135,83135,60709,52001,69292
65,72530,64952,80250,74446,67009,82014,58893,50182,67663
66,70779,62759,78944,72700,64793,80756,57030,48170,65996
67,68954,60485,77273,70847,62487,79137,55138,46118,64296
68,66993,58126,76048,68922,60089,77939,53182,44064,62498
69,64934,55673,74427,66874,57592,76357,51122,41935,60557
70,62768,53124,72671,64710,54995,74644,48932,39738,58429
71,60488,50485,70778,62433,52305,72800,46601,37472,56094
72,58026,47631,68768,60095,49595,70765,44141,34919,53884
73,55605,44988,66570,57547,46692,68683,41647,32817,50974
74,53002,42156,64234,54923,43788,66368,39149,30505,48364
75,50296,39288,61734,52179,40888,63935,36717,28098,45833
76,47497,36401,59073,49306,37850,61159,34378,26079,43406
77,44620,33515,56262,46340,34853,58277,32135,23994,41084
78,41686,30436,53299,43299,31868,55287,29975,21998,38835
79,38717,27826,50258,40209,28920,52063,27884,20091,36627
80,35737,25072,47105,37100,26037,48782,25854,18277,34436
81,32771,22413,43878,33999,23248,45418,23891,16568,32257
82,29847,19879,40599,30935,20584,41993,22013,15152,30105
83,27091,17501,37501,27919,18079,38444,20078,13552,28014
84,24233,15315,33967,25027,15766,35039,18664,12307,26040
85,21602,13357,30657,22237,13683,31945,17303,11293,24258
