AGE,TOTAL_BOTH_SEXES,TOTAL_MALE,TOTAL_FEMALE,WHITE_BOTH_SEXES,WHITE_MALE,WHITE_FEMALE,ALL_OTHER_BOTH_SEXES,ALL_OTHER_MALE,ALL_OTHER_FEMALE
0,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,98237,98022,98464,98450,98246,98666,97243,96960,97534
2,98119,97895,98356,98348,98127,98572,97043,96744,97363
3,98039,97807,98284,98275,98056,98508,96931,96620,97250
4,97978,97735,98234,98218,97990,98462,96845,96518,97181
5,97925,97669,98189,98169,97933,"98,420",96773,96451,97119
6,97864,97596,98145,98113,97861,98381,96685,96325,97056
7,97816,97538,98107,98068,97806,98345,96622,96243,97007
8,97778,97496,98074,98032,97764,98285,96576,96191,96974
9,97748,97464,98053,98003,97738,98285,96540,96153,96936
10,97722,97438,98029,97978,97712,98260,96509,96119,96908
11,97697,97412,97997,97954,97389,98237,96476,96080,96881
12,97669,97380,97973,97928,97660,98214,96458,96032,96853
13,97634,97336,97947,97895,97641,98189,96391,95870,96821
14,97587,97273,97916,97850,97555,98159,96352,95891,96783
15,97524,97187,97877,97789,97475,98122,96260,95793,96737
16,97463,97078,97829,97710,97383,98076,96172,95673,96694
17,97345,96936,97773,97612,97227,98022,96065,95528,96615
18,97232,96774,97711,97502,"97,068",97962,95938,95352,96538
19,97139,96596,97645,97384,96395,97900,95788,95139,96450
20,96930,96405,97578,97262,96714,97233,95613,94885,96352
21,96865,96203,97510,97138,96527,97777,95412,94567,96262
22,96723,95989,97441,97010,96353,97716,95186,94248,96121
23,96558,95769,97370,96881,96137,97656,"94,940",93876,95991
24,96413,95550,97298,96756,95944,97595,"94,801",93482,95433
25,96270,95337,97226,96630,95758,97533,94415,93075,95716
26,96131,95132,97152,96510,95562,97470,94143,92656,95575
27,95994,94936,97077,96393,95414,97405,93363,91783,95433
28,95859,94740,97000,96278,95252,97339,93376,91783,95278
29,95722,94548,96919,96163,95092,97270,93282,91337,95117
30,95582,94354,96833,96046,94932,97197,92980,90889,94945
31,95438,94158,96742,95926,94772,97120,92671,90440,94760
32,95284,93958,96644,95799,94605,97033,92353,"89,989",94596
33,95134,93752,96539,95673,94435,96951,92031,89527,94345
34,94959,93536,96425,95537,94257,96856,91968,89042,94203
35,94778,93298,96301,95391,94001,96763,91668,88628,93701
36,94604,93063,96165,95234,93807,96640,90884,87574,93575
37,94399,92801,96017,95064,93650,96517,90448,87387,93271
38,94178,92578,95856,94875,93468,96356,90232,87032,93024,92942
39,93940,92419,95680,94679,93163,96235,89493,86122,92585
40,93644,91896,95469,94402,92389,95939,88370,85452,92222
41,93438,91650,95232,94226,92562,95403,88433,84758,91792
42,93199,91177,95057,93696,92255,95710,87054,84035,91352
43,92939,90770,94812,93635,91911,95501,86501,83270,90878
44,92426,93329,94544,93371,91414,95270,85500,82458,90364
45,92033,89330,94251,93022,91074,95115,85377,81579,89807
46,91731,88929,93897,92680,90623,95105,84733,80430,89367
47,91127,88667,93578,93211,93139,54422,84274,79613,88549
48,90613,88037,93155,91746,90444,54084,83288,74522,87651
49,90062,87338,92794,91244,88401,83701,82495,77401,87114
50,89474,86592,92363,"90,726",88111,93332,81479,76222,86341
51,88829,85811,91606,"90,132",87148,93127,80327,74954,85539
52,88131,84549,91419,84518,85473,92467,79402,73730,84686
53,87401,84032,90896,88340,85715,92312,78284,72389,83791
54,86434,82922,90229,87619,84919,91852,76965,70946,82965
55,85319,81936,89711,87303,83718,90924,75324,69489,81808
56,84382,80739,89038,86414,82906,90301,74968,68085,80707
57,83466,"79,441",88310,"85,446",81413,89629,73031,66215,79534
58,82771,76041,87526,84353,79946,85858,71522,64460,78295
59,81595,76540,86689,83262,78473,85102,69952,62447,76997
60,"80,347",74943,85800,82353,78100,87266,66332,60790,75647
61,79016,73212,84854,79763,75227,82375,66657,58860,74237
62,77461,71136,84046,78461,74126,85826,65126,56872,72676
63,76107,69532,82775,77002,71551,84403,63152,54474,71240
64,74533,67537,81640,76331,69556,83127,61355,52982,69686
65,72931,65764,80189,74816,67861,81175,59073,50697,68100
66,71152,65276,79169,73034,65263,80447,57732,48980,66530
67,69342,61018,77821,71226,62973,79435,55915,46683,64934
68,67419,58584,75878,69135,60254,74239,53554,44507,63490
69,65430,56233,74816,67312,58299,76703,52322,42848,61372
70,63334,53793,73118,65194,52367,73282,45922,40637,59241
71,61064,51082,71282,62971,52367,73282,47418,38312,56828
72,58715,48389,69306,60644,50137,71377,44345,35898,54175
73,55940,45783,67095,58299,46334,69136,42033,31127,51380
74,53671,42803,64870,55617,44457,67053,39525,31020,48579
75,50970,39929,62393,52889,41510,64575,36962,28676,45874
76,48079,37028,59648,"50,022",38986,61988,33988,25818,43305
77,45259,34097,56885,47036,35474,58596,32219,24313,40877
78,42290,31186,53908,43961,32429,55931,29316,22290,38543
79,39282,28315,50811,40832,29436,52726,27490,20360,36265
80,36263,25513,47621,37684,26499,49413,25627,18521,34017
81,33246,22811,44365,34546,23638,46322,22781,16781,31796
82,30314,20241,41069,31460,20962,42582,21926,15162,29629
83,27445,17836,37758,28445,18425,39114,20160,13700,27571
84,24744,15662,34658,25544,15844,35697,18597,12456,25735
85,22071,13662,31192,22743,13996,32168,17338,11456,24140
