AGE,TOTAL_BOTH_SEXES,TOTAL_MALE,TOTAL_FEMALE,WHITE_BOTH_SEXES,WHITE_MALE,WHITE_FEMALE,ALL_OTHER_BOTH_SEXES,ALL_OTHER_MALE,ALL_OTHER_FEMALE
0,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000"
1,"98,325","98,126","98,535","98,510","98,318","98,714","97,511","97,272","97,759"
2,"98,228","98,017","98,450","98,421","98,216","98,638","97,378","97,130","97,636"
3,"98,152","97,933","98,382","98,352","98,139","98,577","97,269","97,013","97,535"
4,"98,090","97,865","98,326","98,296","98,077","98,527","97,179","96,914","97,453"
5,"98,038","97,808","98,280","98,249","98,025","98,486","97,105","96,830","97,387"
6,"97,993","97,756","98,242","98,207","97,977","98,451","97,061","96,757","97,334"
7,"97,955","97,708","98,209","98,169","97,932","98,420","96,987","96,693","97,290"
8,"97,916","97,663","98,180","98,134","97,890","98,393","96,940","96,636","97,254"
9,"97,883","97,623","98,154","98,102","97,852","98,368","96,900","96,586","97,223"
10,"97,853","97,588","98,131","98,074","97,818","98,345","96,864","96,542","97,195"
11,"97,826","97,557","98,109","98,048","97,789","98,323","96,831","96,502","97,168"
12,"97,799","97,526","98,086","98,022","97,760","98,301","96,797","96,461","97,141"
13,"97,767","97,487","98,060","97,991","97,723","98,276","96,758","96,413","97,111"
14,"97,723","97,431","98,030","97,949","97,668","98,247","96,708","96,348","97,076"
15,"97,660","97,350","97,993","97,891","97,588","98,211","96,643","96,260","97,035"
16,"97,586","97,241","97,949","97,815","97,481","98,168","96,561","96,146","96,986"
17,"97,492","97,107","97,898","97,722","97,348","98,118","96,462","96,006","96,929"
18,"97,384","96,951","97,841","97,616","97,196","98,063","96,343","95,835","96,862"
19,"97,267","96,779","97,780","97,503","97,027","98,005","96,202","95,628","96,785"
20,"97,144","96,595","97,718","97,387","96,853","97,947","96,037","95,384","96,698"
21,"97,015","96,401","97,655","97,268","96,673","97,890","95,848","95,099","96,599"
22,"96,880","96,197","97,590","97,144","96,487","97,833","95,635","94,776","96,488"
23,"96,742","95,987","97,523","97,023","96,299","97,775","95,403","94,423","96,368"
24,"96,603","95,778","97,455","96,901","96,115","97,717","95,160","94,052","96,241"
25,"96,467","95,575","97,385","96,782","95,937","97,657","94,910","93,672","96,108"
26,"96,334","95,380","97,313","96,666","95,768","97,596","94,655","93,286","95,971"
27,"96,203","95,191","97,240","96,554","95,607","97,533","94,394","92,892","95,827"
28,"96,073","95,007","97,164","96,443","95,451","97,469","94,126","92,491","95,676"
29,"95,942","94,823","97,085","96,332","95,297","97,402","93,850","92,080","95,517"
30,"95,807","94,637","97,002","96,219","95,142","97,332","93,564","91,659","95,349"
31,"95,668","94,447","96,914","96,103","94,985","97,259","93,267","91,227","95,171"
32,"95,524","94,253","96,821","95,986","94,825","97,181","92,964","90,784","94,981"
33,"95,374","94,052","96,721","95,860","94,661","97,098","92,637","90,327","94,779"
34,"95,217","93,844","96,614","95,730","94,490","97,009","92,300","89,852","94,562"
35,"95,049","93,626","96,499","95,592","94,310","96,913","91,944","89,353","94,330"
36,"94,875","93,395","96,375","95,445","94,119","96,809","91,568","88,836","94,081"
37,"94,687","93,149","96,241","95,287","93,915","96,696","91,170","88,290","93,813"
38,"94,482","92,887","96,094","95,115","93,699","96,574","90,748","87,717","93,530"
39,"94,261","92,606","95,933","94,928","93,458","96,437","90,297","87,114","93,203"
40,"94,021","92,303","95,755","94,724","93,201","96,286","89,815","86,480","92,853"
41,"93,760","91,976","95,558","94,501","92,922","96,120","89,299","85,813","92,469"
42,"93,476","91,622","95,362","94,257","92,618","95,944","88,748","85,110","92,043"
43,"93,163","91,235","95,105","93,987","92,282","95,734","88,155","84,366","91,595"
44,"92,820","90,807","94,846","93,686","91,905","95,511","87,524","83,576","91,109"
45,"92,444","90,333","94,565","93,351","91,481","95,263","86,851","82,735","90,592"
46,"92,027","89,807","94,259","92,978","91,005","94,994","86,133","81,840","90,043"
47,"91,572","89,227","93,929","92,565","90,475","94,697","85,368","80,889","89,459"
48,"91,077","88,535","93,575","92,112","89,892","94,374","84,556","79,882","88,831"
49,"90,544","87,913","93,181","91,622","89,259","94,026","83,691","78,818","88,171"
50,"89,972","87,182","92,767","91,095","88,578","93,652","82,775","77,698","87,458"
51,"89,360","86,401","92,323","90,529","87,848","93,251","81,805","76,522","86,694"
52,"88,703","85,563","91,846","89,920","87,061","92,819","80,779","75,287","85,878"
53,"87,995","84,660","91,334","89,260","86,209","92,353","79,693","73,984","85,011"
54,"87,229","83,680","90,782","88,542","85,279","91,847","78,539","72,600","84,094"
55,"86,398","82,615","90,186","87,758","84,262","91,297","77,313","71,126","83,126"
56,"85,499","81,460","89,544","86,904","83,154","90,699","76,015","69,559","82,111"
57,"84,529","80,215","88,856","85,978","81,953","90,052","74,646","67,906","81,044"
58,"83,464","78,871","88,110","84,903","80,653","89,337","73,207","66,178","79,897"
59,"82,359","77,432","87,308","83,893","79,248","88,596","71,698","64,391","78,713"
60,"81,149","75,886","86,444","82,724","77,734","87,781","70,121","62,559","77,426"
61,"79,850","74,233","85,510","81,465","76,107","86,901","68,468","60,682","76,039"
62,"78,460","72,474","84,477","80,118","74,368","85,957","66,735","58,762","74,539"
63,"76,985","70,612","83,430","78,676","72,519","84,939","64,965","56,806","73,010"
64,"75,433","68,654","82,299","77,154","70,564","83,864","63,174","54,833","71,449"
65,"73,810","66,607","81,114","75,556","68,507","82,727","61,369","52,839","69,801"
66,"72,120","64,469","79,876","73,872","66,350","81,529","59,631","50,877","68,396"
