AGE,TOTAL_BOTH_SEXES,TOTAL_MALE,TOTAL_FEMALE,WHITE_BOTH_SEXES,WHITE_MALE,WHITE_FEMALE,ALL_OTHER_BOTH_SEXES,ALL_OTHER_MALE,ALL_OTHER_FEMALE
0,100000,100000,100000,100000,100000,100000,100300,100000,100000
1,98394,98215,98582,98584,98407,98696,97571,97371,97778
2,98301,98112,98499,98499,98310,98696,97447,97240,97661
3,98228,98033,98432,98432,98237,98636,97344,97131,97565
4,98169,97969,98378,98378,98179,98587,97259,97039,97487
5,98119,97914,98334,98333,98129,98547,97188,96960,97425
6,98076,97865,98297,98293,98084,98513,97129,96892,97375
7,98037,97820,98265,98256,98042,98483,97079,96832,97334
8,98002,97778,98237,98223,98002,98456,97035,96779,97300
9,97971,97740,98213,98193,97966,98432,96997,96732,97271
10,97944,97707,98191,98167,97935,98411,96962,96689,97245
11,97919,97678,98171,98144,97909,98391,96929,96648,97220
12,97894,97650,98150,98121,97883,98372,96895,96606,97194
13,97856,97614,98127,98093,97849,98348,96856,96556,97165
14,97824,97561,98099,98054,97798,98324,96807,96493,97131
15,97768,97485,98065,98000,97723,98291,96745,96410,97091
16,97660,97282,98023,97528,97621,98248,96669,96306,97044
17,97606,97255,97973,97839,97494,98201,96577,96179,96989
18,97503,97106,97918,97737,97346,98147,96468,96024,96925
19,97390,96941,97859,97627,97189,98090,96338,95836,96853
20,97270,96763,97798,97512,97015,98033,96186,95611,96772
21,97143,96573,97735,97393,96838,97975,96010,95346,96681
22,97010,96372,97670,97271,96653,97917,95812,95044,96580
23,96873,96165,97604,97147,96465,97858,95595,94711,96471
24,96735,95957,97536,97024,96279,97799,95365,94355,96355
25,96589,95753,97468,96900,96099,97739,95124,93984,96235
26,96465,95595,97399,96788,95927,97679,94878,93598,96110
27,96334,95302,97329,96675,95762,97619,94621,93197,95979
28,96206,95173,97257,96564,95603,97557,94356,92783,95842
29,96073,94987,97182,96453,95447,97493,94087,92371,95700
30,95941,94801,97104,96341,95293,97426,93814,91955,95553
31,95806,94615,97021,96227,95138,97354,93538,91539,95400
32,95668,94428,96933,96111,94983,97278,93257,91122,95240
33,95525,94236,96839,95991,94825,97196,92967,90697,95070
34,95374,94037,96738,95862,94660,97109,92660,90253,94884
35,95217,93827,96629,95732,94487,97009,92337,89783,94687
36,95048,93604,96512,95590,94302,96917,91979,89284,94452
37,94862,93364,96385,95430,94100,96810,91578,88755,94191
38,94671,93110,96247,95273,93890,96693,91196,88196,93931
39,94458,92835,96095,95092,93659,96563,90766,87609,93637
40,94226,92539,95926,94894,93407,96419,90310,86993,93320
41,93978,92214,95740,94636,93132,96286,89834,86392,92983
42,93697,91870,95535,94436,92831,96080,89311,85665,92612
43,93395,91490,95310,94171,92500,95883,88761,84947,92214
44,93065,91075,95065,93879,92134,95667,88174,84191,91782
45,92706,90621,94797,93558,91728,95431,87546,83393,91311
46,92311,90120,94506,93204,91278,95117,86874,82552,90798
47,91880,89581,94189,92815,90782,94781,86156,81676,90253
48,91412,88988,93845,92388,90236,94383,85390,80725,89645
49,90905,88343,93473,91922,89638,94249,84575,79724,89013
50,90356,87642,93075,91415,88986,93886,83709,78657,88348
51,89762,86881,92646,90863,88275,93486,82745,77520,87657
52,89120,86057,92184,90263,87500,93066,81818,76313,86917
53,88426,85166,91687,89611,86607,92607,80783,75069,86131
54,87677,84204,91150,88904,85743,92108,79686,73684,85296
55,86868,83167,90569,88138,84752,91567,78515,72261,84388
56,85998,82094,89943,87311,83689,90983,77273,70768,83411
57,85064,80861,89269,86419,82532,90353,75961,69206,82367
58,84057,79577,88562,85455,81287,89672,74576,67372,81295
59,82968,78189,87758,84409,79935,88936,73114,65865,80059
60,81791,76688,86913,83273,78465,88141,71575,64084,78790
61,80518,75068,85998,82041,76872,87280,69947,62223,77427
62,79138,73400,85017,80718,75158,86350,68234,60288,75974
63,77697,71490,83963,79296,73351,85329,66571,58307,74468
64,76175,69558,82863,77802,71404,84306,64705,56319,72961
65,74591,67529,81718,76190,69383,83189,62871,54307,71488
66,72956,65463,80529,74609,67282,82048,61274,52420,70067
67,71255,63306,79283,72904,65090,80826,59615,50518,68682
68,69469,61061,77952,71098,62803,79517,57917,48509,67222
69,67567,58709,76501,69202,60409,78095,56035,46554,65558
70,65529,56240,74902,67169,57901,76538,53927,44362,63583
71,63353,53657,73148,65009,55285,74841,51556,41997,61267
72,61048,50974,71291,62728,52572,72981,49062,39520,58804
73,58616,48205,69175,60321,49771,71004,46237,36914,55859
74,56043,45248,66964,57775,46628,68832,43485,34346,52999
75,53416,42483,64556,55125,43949,66459,40617,31776,50188
76,50668,39568,62005,52346,40957,63932,38222,29485,47475
77,47838,36558,59337,49464,37939,61133,35621,27087,44578
78,44940,33715,56460,46491,34906,58325,33381,25069,42324
79,41990,30815,53489,43454,31894,55292,31074,22997,39832
80,39008,27963,50407,40373,28925,52130,28927,21004,37377
81,36004,25012,47344,37323,25932,49180,26618,18300,34959
82,33043,22513,43998,34177,23236,45493,24597,17314,32680
83,30116,19980,40695,31113,20580,42054,22718,15694,30566
84,27270,17602,37457,28116,17905,38609,20830,14308,28747
85,24543,15493,34072,25193,15822,35025,19890,13236,27365
