Age,Total_Both_Sexes,Total_Male,Total_Female,White_Both_Sexes,White_Male,White_Female,All_Other_Both_Sexes,All_Other_Male,All_Other_Female
0,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000"
1,"98,464","98,305","98,631","98,661","98,509","98,821","97,617","97,414","97,826"
2,"98,372","98,201","98,551","98,575","98,412","98,748","97,498","97,284","97,719"
3,"98,299","98,121","98,487","98,509","98,338","98,690","97,400","97,176","97,630"
4,"98,241","98,056","98,435","98,456","98,279","98,642","97,318","97,085","97,557"
5,"98,192","98,002","98,392","98,411","98,229","98,600","97,249","97,007","97,503"
6,"98,150","97,954","98,356","98,372","98,185","98,569","97,191","96,939","97,450"
7,"98,112","97,910","98,325","98,336","98,144","98,540","97,142","96,879","97,410"
8,"98,078","97,869","98,298","98,304","98,106","98,514","97,099","96,827","97,377"
9,"98,048","97,833","98,274","98,275","98,071","98,491","97,062","96,781","97,349"
10,"98,021","97,801","98,252","98,249","98,041","98,470","97,029","96,741","97,324"
11,"97,997","97,773","98,232","98,226","98,015","98,451","96,999","96,705","97,299"
12,"97,973","97,741","98,217","98,200","97,988","98,432","96,968","96,469","97,274"
13,"97,944","97,710","98,190","98,175","97,954","98,410","96,934","96,627","97,247"
14,"97,905","97,659","98,163","98,137","97,904","98,384","96,891","96,572","97,217"
15,"97,851","97,586","98,129","98,059","97,831","98,351","96,836","96,498","97,182"
16,"97,781","97,488","98,088","98,014","97,733","98,310","96,768","96,403","97,142"
17,"97,695","97,367","98,039","97,928","97,612","98,261","96,686","96,286","97,096"
18,"97,591","97,218","97,982","97,829","97,471","98,207","96,587","96,139","97,053"
19,"97,488","97,069","97,927","97,722","97,316","98,150","96,469","95,971","96,978"
20,"97,374","96,900","97,868","97,611","97,153","98,093","96,332","95,769","96,904"
21,"97,253","96,720","97,808","97,497","96,982","98,037","96,173","95,534","96,818"
22,"97,126","96,529","97,742","97,379","96,803","97,981","95,994","95,268","96,721"
23,"96,996","96,332","97,682","97,259","96,621","97,925","95,797","94,975","96,614"
24,"96,865","96,135","97,617","97,141","96,442","97,869","95,588","94,662","96,501"
25,"96,736","95,936","97,556","97,026","96,270","97,812","95,370","94,333","96,383"
26,"96,609","95,757","97,484","96,915","96,106","97,755","95,143","93,989","96,260"
27,"96,485","95,576","97,416","96,807","95,950","97,697","94,907","93,631","96,131"
28,"96,362","95,400","97,346","96,701","95,800","97,637","94,663","93,262","95,997"
29,"96,238","95,225","97,273","96,596","95,653","97,575","94,414","92,887","95,857"
30,"96,112","95,050","97,197","96,489","95,506","97,510","94,160","92,509","95,711"
31,"95,983","94,873","97,116","96,379","95,357","97,441","93,901","92,129","95,557"
32,"95,850","94,694","97,030","96,266","95,206","97,367","93,635","91,745","95,395"
33,"95,712","94,510","96,938","96,149","95,051","97,289","93,360","91,352","95,224"
34,"95,568","94,319","96,841","96,027","94,891","97,205","93,071","90,941","95,042"
35,"95,417","94,117","96,737","95,897","94,726","97,113","92,768","90,516","94,848"
36,"95,256","93,908","96,625","95,762","94,547","97,020","92,442","90,047","94,641"
37,"95,084","93,683","96,504","95,616","94,359","96,916","92,098","89,560","94,419"
38,"94,899","93,442","96,373","95,458","94,156","96,803","91,734","88,496","94,179"
39,"94,697","93,181","96,229","95,285","93,935","96,678","91,334","88,496","93,911"
40,"94,476","92,897","96,070","95,096","93,693","96,541","90,905","87,915","93,614"
41,"94,234","92,588","95,894","94,888","93,428","96,390","90,441","87,296","93,284"
42,"93,969","92,250","95,700","94,659","93,136","96,224","89,939","86,638","92,920"
43,"93,676","91,881","95,483","94,406","92,813","96,039","89,411","85,939","92,523"
44,"93,359","91,475","95,253","94,125","92,456","95,838","88,824","85,199","92,096"
45,"93,009","91,032","94,996","93,814","92,064","95,613","88,211","84,417","91,638"
46,"92,626","90,548","94,715","93,470","91,624","95,363","87,552","83,592","91,149"
47,"92,208","90,018","94,407","93,091","91,141","95,087","86,867","82,721","90,626"
48,"91,752","89,440","94,072","92,678","90,611","94,789","86,126","81,796","90,063"
49,"91,256","88,810","93,709","92,220","90,030","94,457","85,330","80,801","89,460"
50,"90,718","88,125","93,317","91,725","89,396","94,101","84,472","79,735","88,807"
51,"90,135","87,381","92,894","91,187","88,705","93,716","83,548","78,590","88,102"
52,"89,504","86,573","92,437","90,602","87,951","93,299","82,558","77,367","87,344"
53,"88,832","85,709","91,948","89,962","87,131","92,841","81,495","76,064","86,526"
54,"88,085","84,755","91,412","89,277","86,240","92,350","80,389","74,704","85,674"
55,"87,290","83,720","90,833","88,528","85,273","91,808","79,316","73,276","84,765"
56,"86,437","82,647","90,224","87,720","84,229","91,259","77,990","71,792","83,811"
57,"85,521","81,477","89,563","86,847","83,103","90,636","76,709","70,249","82,808"
58,"84,532","80,215","88,850","85,905","81,882","89,965","75,359","68,633","81,743"
59,"83,458","78,846","88,076","84,868","80,551","89,235","73,921","66,926","80,597"
60,"82,291","77,359","87,234","83,742","79,100","88,440","72,385","65,116","79,360"
61,"81,022","75,747","86,317","82,515","77,523","87,575","70,734","63,191","78,012"
62,"79,653","74,014","85,324","81,189","75,822","86,633","68,978","61,164","76,559"
63,"78,196","72,172","84,266","79,772","74,005","85,626","67,164","59,081","75,048"
64,"76,670","70,239","83,156","78,277","72,086","84,564","65,355","57,003","73,542"
65,"75,087","68,228","82,005","76,714","70,074","83,452","63,593","54,972","72,080"
66,"73,451","66,146","80,803","75,084","67,975","82,281","61,723","52,908","70,507"
67,"71,753","63,989","79,566","73,380","65,786","81,062","60,271","51,114","69,343"
68,"69,971","61,647","78,297","71,606","63,499","79,820","58,549","49,206","67,937"
69,"68,087","59,404","76,806","69,695","61,112","78,344","56,777","47,201","66,435"
70,"66,074","56,950","75,236","67,683","58,618","76,810","54,721","45,038","64,443"
71,"63,935","54,392","73,527","65,556","56,027","75,150","52,411","42,702","62,233"
72,"61,675","51,741","71,677","63,316","53,347","73,358","49,887","40,228","59,750"
73,"59,291","49,042","69,738","60,954","50,572","71,516","47,184","37,668","56,921"
74,"56,779","46,181","67,495","58,456","47,717","69,291","44,381","35,099","54,260"
75,"54,142","43,289","65,138","55,813","44,770","66,973","41,765","32,581","51,432"
