Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,98734,98874,98591,98895,98767,99031,98076,97914,98243,97855,97665,98051
2,98648,98500,98802,98615,98674,98566,97962,97787,98143,97734,97530,97945
3,98581,98425,98744,98755,98605,98915,97868,97682,98060,97634,97418,97857
4,98528,98366,98697,98707,98552,98873,97791,97595,97993,97551,97324,97786
5,98484,98317,98659,98668,98508,98838,97727,97522,97938,97483,97245,97728
6,98446,98274,98627,98633,98470,98808,97674,97461,97894,97427,97181,97682
7,98413,98235,98599,98602,98434,98782,97630,97408,97858,97381,97126,97643
8,98385,98200,98574,98573,98401,98759,97593,97364,97829,97342,97079,97614
9,98357,98169,98552,98548,98372,98737,97561,97328,97804,97309,97039,97588
10,98334,98144,98533,98527,98348,98719,97533,97293,97780,97279,97004,97564
11,98314,98122,98515,98509,98328,98702,97508,97263,97757,97251,96972,97540
12,98295,98101,98497,98491,98308,98686,97479,97232,97730,97222,96938,97516
13,98270,98072,98477,98468,98281,98667,97448,97196,97706,97189,96899,97490
14,98234,98026,98452,98432,98235,98643,97409,97148,97677,97149,96849,97461
15,98182,97956,98420,98380,98164,98611,97360,97083,97644,97100,96783,97428
16,98112,97859,98379,98309,98065,98569,97299,96999,97607,97040,96701,97392
17,98026,97737,98330,98220,97940,98519,97226,96896,97565,96968,96600,97350
18,97926,97593,98275,98117,97793,98463,97138,96769,97517,96881,96474,97302
19,97816,97433,98217,98006,97631,98404,97033,96613,97462,96775,96318,97247
20,97700,97261,98159,97891,97461,98346,96909,96426,97400,96649,96127,97183
21,97578,97077,98100,97772,97283,98289,96766,96205,97330,96501,95898,97111
22,97449,96881,98040,97650,97097,98232,96603,95963,97252,96331,95633,97030
23,97317,96679,97978,97528,96907,98175,96425,95677,97167,96144,95340,96940
24,97184,96475,97917,97403,96718,98119,96237,95387,97075,95944,95030,96842
25,97052,96275,97854,97282,96534,98063,96044,95091,96976,95737,94712,96736
26,96922,96080,97790,97164,96358,98008,95845,94791,96870,95524,94387,96622
27,96794,95889,97725,97049,96185,97951,95641,94486,96757,95300,94053,96500
28,96667,95703,97659,96937,96019,97894,95431,94175,96638,95069,93700,96371
29,96541,95519,97591,96826,95857,97836,95215,93856,96514,94829,93353,96236
30,96414,95336,97520,96715,95697,97776,94993,93528,96386,94580,92992,96095
31,96286,95154,97446,96604,95539,97710,94768,93193,96253,94322,92619,95946
32,96158,94972,97370,96492,95382,97647,94528,92843,96117,94049,92193,95785
33,96023,94788,97288,96377,95224,97576,94283,92483,95973,93766,91774,95633
34,95846,94600,97203,96256,95063,97501,94026,92105,95819,93439,91359,95453
35,95742,94404,97108,96134,94897,97420,93754,91718,95654,93158,90883,95287
