Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,98885,98770,99006,99027,98921,99140,98322,98166,98482,98083,97895,98277
2,98810,98685,98943,98958,98842,99082,98225,98056,98399,97977,97775,98187
3,98752,98620,98892,98905,98783,99036,98145,97965,98331,97891,97677,98112
4,98706,98568,98851,98863,98736,98999,98080,97892,98275,97821,97598,98051
5,98665,98525,98819,98828,98697,98968,98027,97832,98228,97764,97534,98001
6,98635,98487,98790,98798,98662,98942,97983,97782,98189,97717,97481,97960
7,98606,98453,98768,98771,98630,98920,97946,97740,98157,97678,97437,97926
8,98580,98422,98746,98746,98600,98900,97912,97705,98130,97646,97400,97898
9,98557,98395,98726,98724,98574,98882,97887,97674,98108,97618,97368,97873
10,98537,98372,98709,98705,98552,98866,97862,97646,98094,97592,97339,97851
11,98520,98352,98694,98689,98534,98852,97839,97619,98064,97566,97310,97829
12,98502,98332,98679,98673,98516,98838,97813,97590,98043,97539,97279,97807
13,98480,98306,98661,98652,98492,98821,97785,97556,98021,97508,97242,97783
14,98449,98267,98639,98622,98453,98800,97750,97512,97996,97471,97196,97756
15,98405,98208,98611,98578,98394,98772,97707,97455,97967,97426,97137,97726
16,98347,98128,98575,98519,98312,98737,97653,97388,97933,97372,97064,97691
17,98275,98028,98533,98446,98210,98694,97589,97295,97893,97307,96975,97651
18,98192,97911,98485,98361,98090,98646,97513,97190,97848,97230,96868,97605
19,98101,97781,98435,98270,97959,98596,97425,97065,97797,97140,96741,97553
20,98006,97642,98384,98175,97821,98546,97324,96920,97739,97036,96591,97493
21,97906,97494,98332,98078,97677,98497,97209,96754,97674,96917,96418,97425
22,97801,97339,98279,97978,97527,98448,97081,96567,97603,96782,96218,97350
23,97693,97178,98225,97876,97374,98399,96942,96363,97526,96634,96000,97268
24,97583,97014,98170,97773,97220,98349,96796,96147,97445,96472,95768,97181
25,97473,96851,98114,97671,97067,98298,96644,95924,97360,96314,95526,97089
26,97362,96669,98056,97569,96917,98246,96498,95695,97272,96144,95275,96993
27,97251,96528,97997,97469,96770,98193,96347,95468,97180,95967,95014,96893
28,97140,96368,97936,97367,96624,98139,96159,95213,97083,95781,94741,96787
29,97028,96206,97873,97266,96479,98084,95984,94956,96982,95585,94452,96674
30,96914,96042,97806,97165,96333,98027,95799,94685,96875,95376,94144,96554
31,96797,95875,97741,97062,96186,97969,95604,94398,96762,95153,93815,96425
32,96677,95706,97674,96957,96038,97908,95406,94096,96645,94925,93485,96295
33,96553,95531,97597,96850,95887,97846,95184,93784,96515,94685,93099,96140
34,96425,95353,97519,96739,95733,97779,94958,93458,96378,94401,92716,95982
35,96292,95170,97435,96623,95574,97706,94721,93120,96231,94124,92371,95812
36,96152,94980,97344,96501,95409,97627,94472,92769,96071,93833,92016,95629
37,96004,94762,97245,96371,95236,97541,94209,92402,95898,93525,91466,95431
38,95848,94578,97139,96232,95032,97453,93930,92017,95723,93217,91135,95217
39,95677,94353,97021,96084,94859,97345,93631,91611,95509,92854,90531,94987
40,95496,94118,96884,95924,94652,97233,93316,91181,95292,92487,90027,94739
41,95300,93866,96755,95751,94430,97110,92978,90728,95058,92097,89497,94503
42,95088,93594,96602,95563,94189,96974,92616,90242,94805,91681,88937,94184
