Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,98920,98733,99036,99055,98945,93170,98290,98169,98510,98064,98014,98222
2,98651,98733,99974,98991,98873,93114,99299,98169,98433,98064,97912,98222
3,98797,98674,99925,99942,98819,99070,98225,98089,98364,97985,97827,98149
4,98754,98622,98886,98903,98777,99034,98164,98022,98308,97919,97765,98089
5,99718,98589,99855,98871,98742,93007,98113,97966,98263,97864,97694,98040
6,98687,98553,99829,98943,98710,98983,99070,97917,98227,97818,97642,98000
7,98663,98521,99807,98891,98691,98982,98034,97870,98188,97779,97597,97967
8,98635,98491,99787,98795,98654,98943,98003,97837,98173,97745,97557,97939
9,98613,98465,98769,98774,98623,98926,97975,97804,98151,97715,97521,97915
10,98593,98442,98753,98756,98607,98911,97950,97774,98131,97687,97488,97893
11,98574,98421,98737,98739,98588,98896,97926,97746,98111,97660,97457,97871
12,98555,98400,98720,98722,98569,98880,97901,97717,98089,97632,97424,97848
13,98532,98373,98701,98700,98543,98862,97873,97684,98065,97601,97387,97824
14,98500,98333,98678,98668,98503,98839,97836,97641,98039,97564,97341,97797
15,98456,98275,98649,98623,98444,98810,97795,97585,98010,97519,97292,97767
16,98398,98196,98613,98564,98364,98773,97743,97514,97977,97465,97209,97734
17,98328,98098,98570,98491,98264,98730,97680,97427,97939,97402,97122,97696
18,98231,97983,98522,98407,98147,98682,97630,97322,97898,97328,97028,97655
19,98156,97855,98472,98316,98017,98630,97520,97199,97848,97241,96891,97604
20,98060,97716,98421,98221,97879,98579,97422,97056,97795,97140,96743,97549
21,97969,97566,98369,98121,97732,98528,97311,96891,97735,97024,96570,97485
22,97843,97435,98315,98017,97575,98477,97169,96706,97659,96892,96374,97416
23,97741,97240,98261,97911,97418,98426,97051,96504,97598,96778,96158,97339
24,97629,97073,98206,97806,97259,98375,96903,96291,97522,96594,95927,97257
25,97516,96906,98150,97703,97104,98324,96756,96070,97442,96432,95686,97163
26,97409,96747,98094,97602,96955,98273,96607,95843,97358,96285,95496,97163
27,97201,96589,98037,97504,96811,93222,96448,95608,97269,96089,95175,96977
28,97193,96432,97979,97407,96670,98171,96288,95284,97175,95935,94905,96872
29,97083,96275,97918,97309,96529,98119,96109,95110,97074,95708,94611,96759
30,96970,96113,97854,97209,96395,98064,95925,94844,96967,95497,94304,96638
31,96853,95946,97787,97106,96238,98007,95732,94565,96852,95274,93978,96508
32,96732,95775,97716,97000,96087,97946,95528,94273,96729,95037,93633,96367
33,96600,95593,97640,96890,95923,97891,95313,93966,96598,94789,93263,96216
34,96475,95418,97560,96776,95776,97812,95057,93643,96459,94519,92882,96056
35,96339,95232,97474,95658,95615,97738,94849,93202,96310,94237,92475,95888
36,96197,95040,97382,96505,95453,97658,94535,92941,96153,93909,92044,95699
37,96048,94840,97283,96405,95278,97571,94327,92559,95985,93623,91588,95511
38,95889,94630,97176,96267,95096,97476,94041,92154,95803,93286,91105,95301
39,95718,94486,97058,96118,94922,97373,93733,91725,95602,92925,90596,95069
40,95533,94165,96923,95956,94633,97260,93431,91271,95378,92536,90056,94811
41,95330,93905,96787,95760,94463,97139,93062,90789,95123,92115,89503,94539
42,95113,93623,96630,95587,94217,96998,92655,90276,94855,91664,88880,94207
43,94874,93317,96458,95376,93947,96847,92233,89729,94556,91180,88237,93862
44,94514,93011,96451,95140,93651,96681,91792,89145,94226,90662,87548,93492
45,94332,92626,96053,94834,93304,96498,91314,88520,93695,90103,86820,93096
46,94024,92296,95837,94613,92506,96237,90837,87990,93514,83519,86038,92674
47,93685,91810,95583,94318,92417,96073,90251,87324,93124,88885,85194,92251
48,93320,91344,95317,93986,92186,95830,89661,86366,92684,88216,84315,91739
49,92915,90822,95019,93618,91722,95533,89063,85542,92222,87497,83370,91220
50,92470,90269,94631,93211,91207,95261,83349,84658,91725,86729,82366,90682
51,91982,83651,94331,92761,90637,94931,83541,83711,91192,85910,81201,90082
52,91447,88973,93537,92294,90053,94501,82561,82638,90612,85039,80171,89418
53,90861,89231,93505,91718,83517,94167,85002,81615,89597,84102,78973,88723
54,90221,87429,92039,91118,88515,93720,85039,80459,83321,83101,77704,87988
55,89521,86534,92523,90466,87718,93262,84125,79227,83583,82027,76369,87148
56,88766,85570,91955,89745,85802,92731,83050,77919,87781,80880,74944,86260
57,87044,84524,91351,88966,85823,92164,81962,76525,86913,79650,73455,85303
58,87054,83523,90704,88113,84718,91547,80766,75005,85976,78353,71882,84273
59,86031,82172,89991,87199,83542,90875,79484,73591,84965,76967,70210,83165
60,85050,80857,89218,86232,82272,90144,78113,71836,83881,75480,68431,81978
61,83929,79445,88391,85124,83005,89349,76645,70053,82715,73891,66537,80700
62,82722,77933,87476,83963,79428,88489,75086,68150,81468,72305,64538,79338
