Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,98989,98880,99104,99136,99037,99241,98448,98297,98604,98205,98026,98389
2,98919,98802,99043,99072,98965,99185,98355,98194,98521,98101,97911,98296
3,98865,98742,98995,99023,98911,99142,98280,98112,98453,98018,97820,98221
4,98823,98695,98957,98986,98869,99109,98220,98046,98399,97951,97747,98161
5,98788,98656,98927,98956,98836,99082,98171,97991,98355,97897,97687,98113
6,98758,98621,98902,98927,98802,99059,98130,97945,98320,97853,97637,98075
7,98731,98589,98880,98902,98772,99039,98096,97905,98292,97816,97594,98045
8,98707,98557,98863,98879,98744,99021,98067,97870,98268,97783,97557,98020
9,98686,98534,98845,98859,98719,99006,98041,97839,98250,97758,97524,97999
10,98667,98511,98831,98841,98698,98993,98018,97811,98232,97734,97495,97980
11,98650,98491,98818,98826,98680,98981,97996,97784,98215,97710,97467,97962
12,98633,98471,98805,98811,98662,98969,97972,97755,98197,97685,97436,97943
13,98610,98444,98789,98791,98637,98954,97944,97719,98177,97655,97398,97922
14,98581,98403,98768,98761,98598,98934,97907,97670,98153,97616,97345,97898
15,98536,98342,98740,98717,98539,98906,97859,97602,98125,97565,97273,97869
16,98476,98260,98703,98658,98458,98869,97798,97514,98092,97500,97180,97835
17,98402,98157,98659,98583,98357,98823,97724,97406,98054,97421,97065,97794
18,98316,98036,98609,98497,98236,98771,97636,97277,98009,97327,96926,97747
19,98222,97902,98556,98405,98108,98718,97534,97125,97958,97218,96762,97692
20,98122,97758,98503,98309,97970,98666,97417,96950,97900,97093,96572,97630
21,98016,97604,98450,98205,97816,98616,97285,96750,97833,96951,96354,97560
22,97909,97440,98398,98110,97673,98568,97136,96526,97759,96791,96109,97481
23,97796,97269,98344,98007,97516,98520,96976,96285,97678,96618,95844,97395
24,97682,97096,98289,97904,97359,98472,96810,96034,97593,96437,95567,97304
25,97567,96924,98232,97801,97204,98422,96641,95780,97505,96251,95284,97209
26,97453,96755,98173,97698,97052,98370,96470,95524,97414,96062,94997,97110
27,97339,96586,98113,97596,96902,98316,96295,95263,97320,95872,94704,97008
28,97223,96421,98050,97493,96755,98261,96114,94995,97220,95683,94400,96894
29,97104,96250,97984,97388,96604,98204,95922,94714,97112,95444,94077,96771
30,96980,96073,97915,97280,96448,98145,95717,94496,96994,95208,93730,96634
31,96851,95888,97842,97168,96287,98084,95497,94099,96864,94948,93357,96482
32,96716,95696,97765,97052,96120,98021,95262,93692,96722,94675,92959,96315
33,96575,95496,97684,96931,95947,97954,95012,93410,96570,94374,92534,96135
34,96427,95288,97598,96805,95768,97883,94747,93033,96408,94057,92080,95943
35,96273,95071,97506,96674,95584,97807,94466,92632,96238,93721,91596,95736
36,96110,94845,97408,96536,95392,97725,94169,92204,96059,93365,91080,95528
37,95938,94607,97303,96391,95191,97637,93854,91749,95869,92989,90532,95303
38,95757,94359,97190,96239,94982,97542,93522,91272,95669,92594,89955,95066
39,95569,94102,97071,96078,94765,97440,93174,90774,95454,92175,89353,94811
40,95373,93837,96944,95910,94539,97331,92811,90260,95225,91738,88730,94539
