Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,99073,98968,99183,99240,99145,99341,98288,98190,98516,98199,98032,98370
2,99008,98894,99128,99182,99079,99292,98350,98100,98516,98097,97914,98285
3,98959,98840,99085,99139,99031,99254,98280,98111,98454,98019,97828,98216
4,98921,98799,99051,99106,98995,99222,98225,98050,98404,97959,97762,98160
5,98890,98765,99023,99076,98965,99199,98160,98000,98364,97910,97709,98115
6,98863,98735,99000,99054,98938,99178,98142,97958,98331,97869,97663,98079
7,98839,98707,98980,99032,98912,99160,98109,97919,98304,97833,97621,98049
8,98817,98680,98962,99011,98888,99143,98080,97884,98281,97802,97583,98024
9,98797,98657,98946,98993,98866,99128,98055,97855,98261,97775,97551,98002
10,98780,98638,98931,98977,98848,99114,98034,97832,98242,97752,97526,97981
11,98765,98623,98917,98963,98833,99101,98015,97814,98223,97731,97506,97959
12,98750,98608,98902,98949,98819,99087,97996,97796,98202,97709,97486,97936
13,98730,98586,98884,98930,98798,98071,97970,97768,98178,97680,97455,97910
14,98699,98547,98862,98901,98762,99050,97931,97718,98151,97637,97399,97880
15,98653,98485,98833,98858,98705,99022,97874,97636,98119,97573,97308,97845
16,98590,98397,98797,98799,98624,98986,97796,97519,98081,97486,97178,97804
17,98512,98285,98753,98725,98521,98943,97698,97369,98036,97377,97010,97756
18,98421,98154,98704,98640,98402,98895,97583,97191,97986,97249,96809,97702
19,98323,98011,98654,98550,98273,98846,97455,96992,97931,97106,96593,97643
20,98223,97863,98604,98458,98140,98798,97318,96779,97873,96952,96338,97580
21,98120,97710,98555,98365,98004,98752,97173,96552,97812,96787,96074,97512
22,97961,97551,98506,98271,97864,98707,97019,96310,97746,96609,95791,97439
23,97907,97388,98456,98175,97720,98662,96856,96055,97675,96421,95491,97359
24,97797,97221,98405,98078,97574,98616,96687,95791,97599,96223,95179,97271
25,97684,97052,98351,97979,97426,98569,"96,511",95521,97518,96017,94858,97175
26,97569,96881,98294,97878,97276,98520,96329,95245,97426,95803,94530,97069
27,97452,96709,98235,97776,97123,98470,96141,94962,97329,95580,94193,96957
28,97332,96530,98173,97672,96971,98416,95946,94673,97224,95353,93844,96840
29,97207,96348,98107,97564,96813,98361,95741,94370,97110,95099,93478,96692
30,97077,96159,98038,97452,96649,98303,95524,94053,96986,94837,93091,96544
31,96941,95962,97965,97336,96479,98243,95294,93720,96853,94558,92682,96385
32,96800,95758,97887,97215,96302,98179,95052,93372,96709,94263,92252,96213
33,96652,95545,97804,97089,96118,98112,94786,93005,96555,93951,92000,96030
34,96497,95322,97717,96956,95926,98041,94527,92622,96392,93622,91325,95833
35,96334,95089,97624,96817,95725,97965,94244,92218,96220,93276,90827,95626
36,96161,94842,97529,96670,95514,97884,93949,91792,96041,92911,90301,95408
37,95978,94585,97419,96515,95292,97797,93630,91343,95843,92527,89756,95172
38,95787,94316,97306,96351,95000,97704,93300,90875,95639,92125,89184,94925
39,95588,94038,97187,96180,94821,97604,92957,90392,95425,91707,88593,94665
40,95382,93753,97061,96002,94574,97497,92603,89896,95202,91273,87985,94391
41,95166,93461,96931,95816,94316,97384,92237,89381,94967,90808,87373,94103
42,94944,93157,96782,95620,94054,97258,91857,88861,94721,90354,86712,93799
43,94707,92840,96626,95412,93775,97122,91457,88313,94458,89861,86039,93475
44,94435,92505,96455,95188,93474,96971,91035,87737,94179,89331,85331,93135
45,94179,92147,96266,94945,93162,96804,90577,87125,93869,88784,84582,92751
46,93882,91764,96057,94681,92821,96618,90089,86475,93525,88191,83788,92345
47,93533,91319,95827,94393,92454,96415,89504,85785,93157,87568,82947,91918
48,93211,90908,95573,94079,92056,96184,89004,85053,92756,86886,82059,91434
49,92832,90429,95294,93737,91625,95932,88405,84278,92321,86172,81126,90923
50,92420,89912,94987,93363,91156,95654,87765,83459,91850,85414,80147,90371
51,91971,89352,94650,92954,90666,95348,87083,82594,91340,84611,79121,89776
52,91474,88752,94306,92516,90148,95016,86398,81670,90813,83788,78008,89153
53,90950,88084,93877,92016,89480,94642,85572,80703,90191,82850,76903,88444
54,90369,87363,93436,91479,88812,94237,84731,79656,89544,81879,75690,87700
55,89735,86576,92955,90891,88070,93793,83820,78545,88845,80838,74398,86936
56,89045,85719,92432,90248,87277,93311,82849,77316,88090,79725,73013,86042
57,88296,84788,91864,89547,86402,92784,81803,76019,87277,76540,71547,85124
58,87482,83777,91246,88781,85400,92208,80685,74638,86403,77280,69998,84139
59,86596,82676,90571,87942,84400,91576,79494,73173,85483,75944,68369,83080
60,85634,81485,89835,87025,83257,90884,78228,71626,84453,74528,66664,81943
61,84601,80194,89020,86005,81960,90122,76988,69884,83372,73020,64827,80725
62,83462,78803,88162,84937,80662,89297,75467,68285,82217,71464,63028,79426
63,82252,77314,87223,83765,79210,88401,73971,66494,80987,69817,61103,78047
64,80972,75726,86216,82511,77616,87420,72398,64603,79620,68022,59114,76491
65,79590,74051,85141,81176,76009,86405,70743,62689,78293,66309,57067,75059
66,78139,72280,83995,79759,74264,85302,69013,60683,76826,64454,54967,73452
67,76618,70414,82769,78255,72351,84109,67207,58567,75273,62479,52778,71770
68,74975,68445,81465,76655,70465,82856,65327,56474,73650,60452,50621,70016
69,73244,66364,80064,74948,68391,81492,63374,54268,71947,58508,48371,68193
70,71404,64164,78562,73125,66190,80021,61349,51993,70171,56405,46070,66303
71,69453,61847,76953,71183,63863,78438,59255,49653,68321,54245,43720,64348
72,67292,59419,75228,69124,61414,76744,57095,47213,66397,51933,41396,62296
73,65221,56885,73400,66948,58854,74920,54875,44816,64397,49779,38926,60245
74,62942,54249,71449,64656,56179,72976,52602,42352,62320,47494,36522,58101
75,60530,51619,69358,62248,53479,70901,50304,39870,60165,45024,34215,55902
76,58069,48704,67178,59731,50521,68700,47922,37406,57930,42868,31791,53634
77,55482,45816,64851,57105,47560,66380,45522,34941,55614,40535,29480,51312
78,52768,42867,62391,54275,44475,63890,43035,32408,53084,38100,27215,48941
79,50026,39872,59786,51547,41441,61258,40611,30053,50734,35833,24977,46484
80,47168,36848,57062,48627,38317,58488,38104,27640,48169,33464,22789,43975
81,44232,33811,54186,45622,35175,55568,35567,25258,45515,31096,20649,41400
82,41227,30782,51167,42541,32035,52497,33004,22918,42772,28701,18565,38758
83,38167,27780,48008,39395,28934,49272,30419,20635,39937,26315,16550,36047
84,35046,24834,44890,36192,25834,45975,27819,18420,37007,23935,14619,33266
85,31692,21962,41230,32947,22862,42357,25211,16298,33979,21568,12790,30413
