Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,99165,99077,99258,99318,99245,99397,98595,98446,98750,98352,98173,98536
2,99102,99005,99203,99264,99182,99351,98501,98338,98671,98246,98049,98449
3,99055,98953,99161,99223,99137,99313,98453,98285,98626,98166,97961,98376
4,99019,98915,99130,99193,99103,99288,98377,98206,98552,98104,97899,98315
5,98989,98884,99102,99168,99076,99265,98333,98162,98508,98054,97849,98265
6,98963,98857,99079,99146,99052,99245,98295,98124,98471,98012,97806,98223
7,98940,98831,99058,99125,99029,99227,98262,98089,98440,97975,97768,98188
8,98919,98807,99040,99106,99007,99211,98233,98057,98414,97943,97734,98158
9,98900,98786,99023,99089,98987,99196,98208,98030,98391,97915,97705,98131
10,98884,98768,99008,99074,98970,99182,98187,98010,98370,97892,97684,98107
11,98870,98753,98994,99060,98955,99170,98170,97995,98352,97872,97668,98090
12,98855,98738,98980,99046,98940,99157,98152,97980,98330,97852,97651,98061
13,98835,98715,98963,99027,98918,99142,98127,97953,98308,97824,97620,98037
14,98804,98676,98942,98999,98882,99122,98087,97899,98282,97773,97568,98009
15,98759,98614,98914,98958,98827,99095,98026,97808,98252,97710,97456,97976
16,98697,98527,98879,98902,98751,99060,97941,97676,98216,97614,97306,97937
17,98620,98416,98837,98832,98655,99017,97833,97505,98174,97493,97111,97892
18,98530,98286,98789,98752,98543,98970,97736,97302,98125,97349,96878,97840
19,98433,98144,98739,98666,98423,98922,97585,97076,98070,97187,96615,97781
20,98333,97997,98689,98579,98299,98875,97413,96834,98010,97011,96330,97715
21,98231,97844,98640,98492,98171,98830,97251,96577,97943,96820,96023,97641
22,98126,97685,98591,98403,98039,98787,97078,96305,97870,96615,95693,97558
23,98018,97522,98541,98313,97904,98741,96898,96023,97798,96399,95349,97457
24,97908,97357,98489,98221,97767,98701,96713,95737,97706,96177,95000,97388
25,97797,97191,98435,98128,97628,98656,96526,95453,97615,95952,94653,97282
26,97683,97022,98378,98033,97487,98605,96338,95173,97518,95726,94311,97147
27,97570,96858,98318,97936,97345,98560,96149,94895,97414,95497,93972,97024
28,97452,"96,687",98255,97836,97199,98508,95955,94614,97303,95263,93629,96892
29,97329,96509,98186,97731,97045,98453,95753,94323,97186,95018,93273,96751
30,97198,96319,98117,97619,96880,98395,95540,94015,97061,94758,92895,96600
31,97059,96117,98042,97499,96703,98332,95314,93669,96931,94481,92494,96439
32,96912,95903,97963,97371,96515,98269,95078,93345,96759,94188,92070,96287
33,96757,95678,97879,97236,96317,98199,94825,92984,96639,93876,91623,96083
34,96594,95443,97789,97094,96110,98125,94559,92606,96478,93550,91155,95884
35,96423,95198,97692,96946,95895,98045,94278,92211,96203,93204,90685,95670
36,96243,94944,97588,96791,95673,97961,93981,91798,96115,92838,90154,95438
37,96054,94679,97477,96629,95441,97870,93667,91366,95911,92451,89619,95189
38,95855,94403,97358,96459,95201,97773,93339,90911,95661,92057,89057,94926
39,95647,94115,97232,96280,94951,97669,92984,90430,95464,91610,88463,94643
40,95429,93813,97098,96093,94690,97558,92614,89919,95225,91155,87834,94350
41,95199,93496,96956,95896,94417,97439,92223,89376,94975,90674,87167,94044
42,94956,93164,96805,95688,94131,97311,91810,88801,94711,90167,86462,93722
43,94700,92818,96641,95462,93830,97173,91375,88187,94462,89617,85726,93387
44,94431,92454,96466,95233,93517,97022,90919,87570,94135,89075,84955,93019
45,94147,92078,96275,94985,93188,96856,90443,86923,93816,88491,84162,92629
46,93844,91688,96067,94720,92842,96674,89945,86274,93345,87876,83344,92211
47,93526,91273,95840,94435,92475,96473,89422,85584,93106,87239,82497,91761
48,93183,90836,95592,94128,92083,96252,88870,84842,92710,86565,81615,91280
49,92813,90367,95322,93795,91661,96010,88283,84082,92284,85852,80689,90765
50,92413,89862,95027,93432,91204,95744,87657,83276,91825,85096,79712,90215
51,91971,89318,94704,93046,90733,95452,87054,82422,91333,84500,78661,89628
