Age,All_races_Both_sexes,All_races_Male,All_races_Female,White_Both_sexes,White_Male,White_Female,All_other_Total_Both_sexes,All_other_Total_Male,All_other_Total_Female,All_other_Black_Both_sexes,All_other_Black_Male,All_other_Black_Female
0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,99243,99169,99320,99372,99301,99445,98746,98653,98842,98499,98377,98624
2,99186,99104,99270,99322,99245,99402,98663,98557,98772,98404,98268,98544
3,99144,99057,99232,99285,99204,99369,98600,98489,98715,98332,98190,98479
4,99111,99022,99202,99257,99173,99343,98552,98438,98669,98277,98132,98427
5,99084,98993,99178,99234,99148,99322,98513,98396,98632,98233,98084,98385
6,99061,98967,99158,99214,99125,99304,98480,98359,98602,98195,"98,042",98351
7,99040,98943,99140,99195,99103,99288,98450,98325,98577,98162,98003,98323
8,99020,98920,99124,99177,99082,99274,98423,98293,98555,98133,97967,98300
9,99002,98899,99109,99161,99063,99261,98399,98266,98535,98107,97936,98279
10,98986,98881,99095,99146,99047,99248,98379,98244,98517,98085,97912,98259
11,98971,98866,99081,99133,99032,99236,98361,98227,98498,98065,97893,98238
12,98958,98850,99067,99119,99017,99224,98342,98209,98478,98043,97873,98216
13,98936,98827,99045,99100,98985,99207,98317,98181,98455,98014,97841,98190
14,98905,98789,99028,99072,98960,99186,98278,98130,98428,97970,97784,98160
15,98861,98730,98999,99031,98907,99159,98220,98046,98396,97905,97691,98124
16,98801,98653,98963,98976,98833,99124,98141,97931,98352,97816,97557,98082
17,98727,98543,98920,98908,98741,99082,98042,97780,98311,97704,97384,98032
18,98641,98420,98872,98830,98633,99035,97926,97601,98260,97572,97179,97976
19,98548,98286,98822,98746,98515,98987,97798,97402,98204,97426,96950,97915
20,98451,98144,98773,98659,98391,98941,97661,97189,98145,97270,96704,97850
21,98351,97995,98724,98571,98262,98897,97516,96962,98089,97104,96441,97780
22,98247,97839,98676,98480,98126,98854,97362,96721,98014,96926,96160,97704
23,98141,97678,98627,98387,97987,98811,97200,96470,97942,96738,95866,97622
24,98033,97515,98576,98294,97846,98767,97033,96213,97864,96539,95562,97533
25,97924,97353,98523,98200,97706,98721,96863,95955,97779,96339,95252,97433
26,97814,97192,98467,98106,97568,98673,96690,95697,97688,96129,94938,97324
27,97703,97030,98408,98011,97428,98624,96513,95438,97589,95907,94618,97205
28,97589,96868,98345,97913,97289,98571,96330,95175,97483,95685,94287,97075
29,97469,96696,98278,97810,97140,98516,96136,94895,97368,95445,93939,96934
30,97341,96511,98206,97700,96980,98457,95929,94599,97244,95188,93569,96761
31,97203,96313,98130,97581,96806,98394,95707,94282,97110,94913,93175,96618
32,97056,96101,98048,97454,96620,98327,95470,93946,96986,94621,92757,96439
33,96900,95877,97960,97319,96428,98256,95218,93580,96811,94310,92315,96249
34,96735,95642,97866,97176,96217,98178,94951,93215,96645,93982,91851,96045
35,96562,95397,97765,97026,96003,98095,94670,92822,96467,93636,91366,95827
36,96380,95149,97657,96869,95780,98005,94373,92411,96273,93271,90859,95594
37,96188,94876,97540,96703,95548,97908,94059,91979,96074,92887,90328,95348
38,95986,94598,97415,96529,95306,97804,93728,91524,95857,92481,88770,95081
39,95773,94307,97283,96346,95053,97693,93377,91044,95628,92051,88181,94798
40,95549,94002,97143,96153,94788,97576,93005,90536,95381,91594,88558,94497
41,95314,93688,96994,95950,94509,97451,92611,89991,95104,91109,87812,94187
42,95064,93343,96835,95735,94215,97317,92193,89428,94842,90596,87203,93834
43,94801,92989,96665,95508,93907,97174,91752,88829,94547,90055,86470,93472
44,94525,92619,96483,95269,93588,97023,91290,88186,94236,89468,85684,93090
45,94234,92233,96289,95016,93248,96853,90806,87550,93908,88890,84899,92685
46,93928,91830,96081,94747,92894,96672,90300,86869,93561,88265,84060,92258
47,93601,91407,95858,94461,92522,96476,89768,86120,93184,87598,83184,91803
48,93256,90959,95612,94153,92122,96260,89207,85412,92801,86920,82267,91328
49,92883,90480,95345,93819,91695,96022,88613,84627,92381,86195,81307,90820
50,92479,89966,95052,93455,91233,95759,87980,83799,91928,85430,80300,90280
