cohort,cumu_month,year,age,newpop,monthdth,tot_deaths_app,mort_rate
1916,1,2006,90,770038.5,1,22761.584,2955.9021
1916,2,2006,90,,2,19164.125,
1916,3,2006,90,,3,19796.75,
1916,4,2006,90,,4,15810.793,
1916,5,2006,90,,5,13670,
1916,6,2006,90,,6,11416.541,
1916,7,2006,90,,7,10429.125,
1916,8,2006,90,,8,8946.5,
1916,9,2006,90,,9,7626.875,
1916,10,2006,90,,10,6962.708,
1916,11,2006,90,,11,5596.5,
1916,12,2006,90,,12,4364.667,
1917,1,2006,89,344799,1,3737.0415,1083.8319
1917,2,2006,89,383018.305479452,2,3524.125,920.09308
1917,3,2006,89,417538.9684931487,3,3819.625,914.79486
1917,4,2006,89,455758.2739726007,4,3397.875,745.54321
1917,5,2006,89,492744.6986301355,5,3300.125,669.74341
1917,6,2006,89,530964.0041095875,6,3049.125,574.26208
1917,7,2006,89,567950.4287671223,7,3154.2085,555.36688
1917,8,2006,89,606169.7342465743,8,3090.875,509.90256
1917,9,2006,89,644389.0397260264,9,3067.5,476.03232
1917,10,2006,89,681375.4643835612,10,3453.4167,506.83023
1917,11,2006,89,719594.7698630132,11,3572.75,496.49472
1917,12,2006,89,756581.194520548,12,3720.25,491.71854
1917,13,2007,90,794800.5,1,23239.498,2923.9412
1917,14,2007,90,,2,19838.375,
1917,15,2007,90,,3,19401.793,
1917,16,2007,90,,4,16071.167,
1917,17,2007,90,,5,13879.5,
1917,18,2007,90,,6,11471.541,
1917,19,2007,90,,7,10341.375,
1917,20,2007,90,,8,9032,
1917,21,2007,90,,9,7843.1255,
1917,22,2007,90,,10,6860.6665,
1917,23,2007,90,,11,5613.875,
1917,24,2007,90,,12,4510.167,
1918,1,2006,88,392467.5,1,3881.875,989.09467
1918,2,2006,88,388881.7342465753,2,3423.75,880.40906
1918,3,2006,88,385642.9780821917,3,3933.4585,1019.9741
1918,4,2006,88,382057.2123287669,4,3481.625,911.28369
1918,5,2006,88,378587.116438356,5,3332.25,880.18048
1918,6,2006,88,375001.3506849313,6,3134.2915,835.80804
1918,7,2006,88,371531.2547945203,7,3234.4165,870.56378
1918,8,2006,88,367945.4890410958,8,3095.75,841.36102
1918,9,2006,88,364359.7232876711,9,3102.375,851.45935
1918,10,2006,88,360889.6273972602,10,3381.875,937.09399
1918,11,2006,88,357303.8616438354,11,3378.125,945.44879
1918,12,2006,88,353833.7657534245,12,3810.375,1076.8828
1918,13,2007,89,350248,1,3670,1047.829
1918,14,2007,89,389283.200000003,2,3575.125,918.38666
1918,15,2007,89,424540.8000000007,3,3660.3333,862.18646
1918,16,2007,89,463576,4,3392.3335,731.77502
1918,17,2007,89,501352,5,3320.625,662.33405
1918,18,2007,89,540387.200000003,6,3049.8333,564.37927
1918,19,2007,89,578163.200000003,7,3106.8333,537.36267
1918,20,2007,89,617198.4000000022,8,3058,495.46466
1918,21,2007,89,656233.6000000015,9,3104.75,473.11658
1918,22,2007,89,694009.6000000015,10,3243.625,467.37466
1918,23,2007,89,733044.8000000007,11,3343.875,456.16245
1918,24,2007,89,770820.8000000007,12,3704.6667,480.61322
1918,25,2008,90,809856,1,23820.625,2941.3408
1918,26,2008,90,,2,22786.625,
1918,27,2008,90,,3,22508.043,
1918,28,2008,90,,4,16968.334,
1918,29,2008,90,,5,14429.375,
1918,30,2008,90,,6,11754.082,
1918,31,2008,90,,7,10465.375,
1918,32,2008,90,,8,9094.125,
1918,33,2008,90,,9,7581.7085,
1918,34,2008,90,,10,6831.6245,
1918,35,2008,90,,11,5468,
1918,36,2008,90,,12,4452.917,
1919,1,2006,87,446937,1,4012.375,897.74957
1919,2,2006,87,443617.664383562,2,3556.5,801.70386
1919,3,2006,87,440619.5547945208,3,4021.625,912.72052
1919,4,2006,87,437300.2191780824,4,3592.75,821.5752
1919,5,2006,87,434087.9589041099,5,3349.75,771.67542
1919,6,2006,87,430768.6232876715,6,3236.9165,751.4281
1919,7,2006,87,427556.363013699,7,3255.5,761.4201
1919,8,2006,87,424237.0273972605,8,3251.5,766.43475
1919,9,2006,87,420917.6917808224,9,3379.9165,802.98749
