cohort,cumu_month,year,age,newpop,monthdth,tot_deaths_app,mort_rate
1916,1,2006,90,290534,1,8952.124,3081.2656
1916,2,2006,90,,2,7677.25,
1916,3,2006,90,,3,8045.5,
1916,4,2006,90,,4,6495.042,
1916,5,2006,90,,5,5727,
1916,6,2006,90,,6,4844.4995,
1916,7,2006,90,,7,4518.875,
1916,8,2006,90,,8,3996.125,
1916,9,2006,90,,9,3435.2502,
1916,10,2006,90,,10,3207.7915,
1916,11,2006,90,,11,2778,
1916,12,2006,90,,12,2417.1252,
1917,1,2006,89,162159,1,2161.0833,1332.694
1917,2,2006,89,174372.4904109593,2,1997.25,1145.3928
1917,3,2006,89,185404.0301369866,3,2257.75,1217.746
1917,4,2006,89,197617.520547946,4,2000.0001,1012.0561
1917,5,2006,89,209437.027397261,5,1980.875,945.80933
1917,6,2006,89,221650.5178082194,6,1850.3333,834.79761
1917,7,2006,89,233470.0246575344,7,1928.25,825.909
1917,8,2006,89,245683.5150684938,8,1939.125,789.27765
1917,9,2006,89,257897.0054794522,9,1961.4166,760.5426
1917,10,2006,89,269716.5123287672,10,2166.4585,803.23541
1917,11,2006,89,281930.0027397266,11,2164.375,767.6994
1917,12,2006,89,293749.5095890416,12,2358.7915,802.9942
1917,13,2007,90,305963,1,9375.833,3064.3682
1917,14,2007,90,,2,8108.125,
1917,15,2007,90,,3,7934.875,
1917,16,2007,90,,4,6809.2505,
1917,17,2007,90,,5,5872.125,
1917,18,2007,90,,6,4915.5415,
1917,19,2007,90,,7,4634.708,
1917,20,2007,90,,8,4075.25,
1917,21,2007,90,,9,3534.875,
1917,22,2007,90,,10,3320.75,
1917,23,2007,90,,11,2861,
1917,24,2007,90,,12,2497,
1918,1,2006,88,193236,1,2491.2083,1289.2051
1918,2,2006,88,191054.8315068493,2,2231.5,1167.9893
1918,3,2006,88,189084.7438356164,3,2559.875,1353.8242
1918,4,2006,88,186903.5753424657,4,2191.7085,1172.6412
1918,5,2006,88,184792.7671232875,5,2190.375,1185.3142
1918,6,2006,88,182611.598630137,6,2036.0416,1114.9574
1918,7,2006,88,180500.7904109589,7,2098.9583,1162.8527
1918,8,2006,88,178319.6219178082,8,2066.625,1158.9442
1918,9,2006,88,176138.4534246575,9,2093.2915,1188.4353
1918,10,2006,88,174027.6452054793,10,2260.8333,1299.123
1918,11,2006,88,171846.4767123286,11,2229,1297.088
1918,12,2006,88,169735.6684931507,12,2472.5,1456.6768
1918,13,2007,89,167554.5,1,2295.2915,1369.8776
1918,14,2007,89,180215.8342465758,2,2139.875,1187.3956
1918,15,2007,89,191651.8780821916,3,2212.875,1154.6326
1918,16,2007,89,204313.2123287674,4,2127.4167,1041.2527
1918,17,2007,89,216566.1164383562,5,2017.5,931.58618
1918,18,2007,89,229227.4506849321,6,1892.8333,825.74457
1918,19,2007,89,241480.3547945209,7,1975.4584,818.06171
1918,20,2007,89,254141.6890410958,8,1936.25,761.87817
1918,21,2007,89,266803.0232876716,9,1866.9583,699.75153
1918,22,2007,89,279055.9273972604,10,2058.5833,737.69556
1918,23,2007,89,291717.2616438353,11,2097.375,718.97528
1918,24,2007,89,303970.1657534251,12,2332.625,767.38617
1918,25,2008,90,316631.5,1,9655.417,3049.4177
1918,26,2008,90,,2,9318.875,
1918,27,2008,90,,3,9043.583,
1918,28,2008,90,,4,7178.792,
1918,29,2008,90,,5,6161.125,
1918,30,2008,90,,6,5196.4995,
1918,31,2008,90,,7,4679.375,
1918,32,2008,90,,8,4089.75,
1918,33,2008,90,,9,3599.75,
1918,34,2008,90,,10,3365.458,
1918,35,2008,90,,11,2845.75,
1918,36,2008,90,,12,2583.8335,
1919,1,2006,87,229900,1,2637.625,1147.2924
1919,2,2006,87,227664.9849315069,2,2412.125,1059.5063
1919,3,2006,87,225646.2616438356,3,2696.75,1195.1228
1919,4,2006,87,223411.2465753425,4,2380.375,1065.4679
1919,5,2006,87,221248.3287671232,5,2363.125,1068.0872
1919,6,2006,87,219013.3136986301,6,2222.9585,1014.9879
1919,7,2006,87,216850.395890411,7,2308.3333,1064.4819
1919,8,2006,87,214615.3808219177,8,2299.5,1071.4517
1919,9,2006,87,212380.3657534246,9,2369.0833,1115.4907
1919,10,2006,87,210217.4479452055,10,2546.8335,1211.5233
1919,11,2006,87,207982.4328767124,11,2647.125,1272.7638
1919,12,2006,87,205819.5150684931,12,2913.0417,1415.338
1919,13,2007,88,203584.5,1,2469.7917,1213.1531
1919,14,2007,88,201338.6136986301,2,2335.25,1159.8619
1919,15,2007,88,199310.0712328767,3,2437.875,1223.157
1919,16,2007,88,197064.1849315069,4,2295.4585,1164.8279
1919,17,2007,88,194890.7465753425,5,2209.875,1133.9045
1919,18,2007,88,192644.8602739726,6,2079,1079.1879
1919,19,2007,88,190471.4219178082,7,2206.2083,1158.2883
1919,20,2007,88,188225.5356164384,8,2217.5,1178.1079
1919,21,2007,88,185979.6493150685,9,2227,1197.4429
1919,22,2007,88,183806.2109589041,10,2426,1319.8684
1919,23,2007,88,181560.3246575342,11,2457,1353.2692
1919,24,2007,88,179386.8863013699,12,2741.5,1528.2611
1919,25,2008,89,177141,1,2381,1344.127
1919,26,2008,89,190479.9357923502,2,2407.875,1264.1095
1919,27,2008,89,202958.2950819675,3,2459.2917,1211.7227
1919,28,2008,89,216297.2308743168,4,2220.1667,1026.4425
1919,29,2008,89,229205.8784153005,5,2116.5,923.40564
1919,30,2008,89,242544.8142076507,6,2010.5416,828.93616
1919,31,2008,89,255453.4617486345,7,1996.0417,781.37195
1919,32,2008,89,268792.3975409837,8,2024,752.9975
1919,33,2008,89,282131.333333334,9,2113.5,749.1192
1919,34,2008,89,295039.9808743168,10,2392.125,810.77997
1919,35,2008,89,308378.916666667,11,2310.625,749.28113
1919,36,2008,89,321287.5642076507,12,2635.75,820.37097
1919,37,2009,90,334626.5,1,10129.166,3027.0066
1919,38,2009,90,,2,8347.25,
1919,39,2009,90,,3,8328.375,
1919,40,2009,90,,4,7116.7085,
1919,41,2009,90,,5,6313.75,
1919,42,2009,90,,6,5461.1665,
1919,43,2009,90,,7,5055.083,
1919,44,2009,90,,8,4412.875,
1919,45,2009,90,,9,4017.875,
1919,46,2009,90,,10,3788.625,
1919,47,2009,90,,11,3048.25,
1919,48,2009,90,,12,2793.2085,
1920,1,2006,86,275425,1,2735.7083,993.26794
1920,2,2006,86,272980.0767123287,2,2593.375,950.02356
1920,3,2006,86,270771.7589041095,3,2943.9165,1087.2317
1920,4,2006,86,268326.8356164382,4,2606.25,971.29681
1920,5,2006,86,265960.7808219178,5,2623.125,986.28265
1920,6,2006,86,263515.8575342465,6,2433.7915,923.58447
1920,7,2006,86,261149.8027397259,7,2510.625,961.37347
1920,8,2006,86,258704.8794520546,8,2526,976.40216
1920,9,2006,86,256259.9561643836,9,2539.3335,990.9209
1920,10,2006,86,253893.901369863,10,2697.7915,1062.5665
1920,11,2006,86,251448.9780821917,11,2790.875,1109.917
1920,12,2006,86,249082.9232876711,12,3130.375,1256.7601
1920,13,2007,87,246638,1,2640.75,1070.6987
1920,14,2007,87,244339.4561643836,2,2612.25,1069.1069
1920,15,2007,87,242263.3520547943,3,2679.3333,1105.959
1920,16,2007,87,239964.8082191779,4,2488.2917,1036.9403
1920,17,2007,87,237740.4109589041,5,2479.75,1043.0494
1920,18,2007,87,235441.8671232876,6,2369.2915,1006.317
1920,19,2007,87,233217.4698630136,7,2462.4585,1055.8636
1920,20,2007,87,230918.9260273972,8,2456,1063.5768
1920,21,2007,87,228620.3821917807,9,2452.0835,1072.5568
1920,22,2007,87,226395.9849315067,10,2597.5415,1147.3444
1920,23,2007,87,224097.4410958902,11,2696.875,1203.4386
1920,24,2007,87,221873.0438356164,12,3010.0835,1356.6693
1920,25,2008,88,219574.5,1,2557.4583,1164.7338
1920,26,2008,88,217080.1010928962,2,2587.625,1192.0139
1920,27,2008,88,214746.6311475411,3,2792.0833,1300.1755
1920,28,2008,88,212252.2322404373,4,2478.9585,1167.9304
1920,29,2008,88,209838.2978142076,5,2400.625,1144.0356
1920,30,2008,88,207343.8989071038,6,2242.2085,1081.396
1920,31,2008,88,204929.9644808744,7,2286.5415,1115.7673
1920,32,2008,88,202435.5655737706,8,2292.75,1132.5826
1920,33,2008,88,199941.1666666667,9,2277.7085,1139.1893
1920,34,2008,88,197527.2322404373,10,2579.7085,1306.0015
1920,35,2008,88,195032.8333333335,11,2565.875,1315.6118
1920,36,2008,88,192618.8989071038,12,2807.25,1457.4115
1920,37,2009,89,190124.5,1,2349.2498,1235.6376
1920,38,2009,89,203895.9739726027,2,2112.5,1036.0675
1920,39,2009,89,216334.7246575337,3,2437.5835,1126.7648
1920,40,2009,89,230106.1986301364,4,2215.4167,962.78015
1920,41,2009,89,243433.4315068489,5,2135,877.0365
1920,42,2009,89,257204.9054794516,6,2066.4583,803.42877
1920,43,2009,89,270532.1383561641,7,2215.9583,819.1109
1920,44,2009,89,284303.6123287668,8,2214.5,778.92084
1920,45,2009,89,298075.0863013696,9,2284.5415,766.43158
1920,46,2009,89,311402.319178082,10,2450.25,786.84387
1920,47,2009,89,325173.7931506848,11,2376,730.68622
1920,48,2009,89,338501.0260273973,12,2630.2085,777.01642
1920,49,2010,90,352272.5,1,10410.416,2955.2168
1920,50,2010,90,,2,8711.125,
1920,51,2010,90,,3,8827.959,
1920,52,2010,90,,4,7416.667,
1920,53,2010,90,,5,6773,
1920,54,2010,90,,6,5800.666,
1920,55,2010,90,,7,5370.708,
1920,56,2010,90,,8,4759.375,
1920,57,2010,90,,9,4237.9585,
1920,58,2010,90,,10,3903.7083,
1920,59,2010,90,,11,3341.25,
1920,60,2010,90,,12,3042.375,
1921,1,2006,85,324253,1,3078.2083,949.323
1921,2,2006,85,321095.0342465753,2,2743.875,854.53674
1921,3,2006,85,318242.6780821919,3,3153.4585,990.8974
1921,4,2006,85,315084.7123287672,4,2866.5417,909.76862
1921,5,2006,85,312028.6164383562,5,2821.875,904.3642
1921,6,2006,85,308870.6506849315,6,2556.75,827.77368
1921,7,2006,85,305814.5547945206,7,2589.2085,846.65967
1921,8,2006,85,302656.5890410959,8,2592.125,856.45746
1921,9,2006,85,299498.6232876712,9,2639.375,881.26447
1921,10,2006,85,296442.5273972603,10,2836.75,956.93085
1921,11,2006,85,293284.5616438356,11,2833.625,966.16919
1921,12,2006,85,290228.4657534247,12,3004.8333,1035.3337
1921,13,2007,86,287070.5,1,2989.875,1041.5125
1921,14,2007,86,284614.4506849314,2,2839.875,997.79718
1921,15,2007,86,282396.0835616437,3,2979.7917,1055.1816
1921,16,2007,86,279940.0342465753,4,2760.2085,985.99994
1921,17,2007,86,277563.2123287672,5,2717,978.8761
1921,18,2007,86,275107.1630136985,6,2552.2915,927.74445
1921,19,2007,86,272730.3410958904,7,2542.5835,932.27014
1921,20,2007,86,270274.291780822,8,2555.625,945.5672
1921,21,2007,86,267818.2424657533,9,2565.0833,957.7702
1921,22,2007,86,265441.4205479452,10,2671.25,1006.3426
1921,23,2007,86,262985.3712328768,11,2786.125,1059.422
1921,24,2007,86,260608.5493150684,12,2979.7915,1143.3975
1921,25,2008,87,258152.5,1,2920.2083,1131.1951
1921,26,2008,87,255683.5532786886,2,2912.25,1139.0056
1921,27,2008,87,253373.8934426229,3,3110.625,1227.6818
1921,28,2008,87,250904.9467213114,4,2787.9167,1111.1447
1921,29,2008,87,248515.6434426229,5,2608,1049.4309
1921,30,2008,87,246046.6967213114,6,2476.2083,1006.3977
1921,31,2008,87,243657.3934426229,7,2471.75,1014.4367
1921,32,2008,87,241188.4467213114,8,2448.75,1015.285
1921,33,2008,87,238719.5,9,2417.375,1012.6425
1921,34,2008,87,236330.1967213114,10,2637.375,1115.9703
1921,35,2008,87,233861.25,11,2694.75,1152.2858
1921,36,2008,87,231471.9467213114,12,3027.7083,1308.0238
1921,37,2009,88,229003,1,2665.7083,1164.0494
1921,38,2009,88,226319.3342465751,2,2403.625,1062.0502
1921,39,2009,88,223895.3780821916,3,2636.75,1177.6705
1921,40,2009,88,221211.7123287669,4,2496.0417,1128.3497
1921,41,2009,88,218614.616438356,5,2392.5,1094.3916
1921,42,2009,88,215930.9506849314,6,2310.25,1069.9022
1921,43,2009,88,213333.8547945204,7,2404.1667,1126.9504
1921,44,2009,88,210650.1890410958,8,2403,1140.7538
1921,45,2009,88,207966.5232876712,9,2438.4167,1172.5044
1921,46,2009,88,205369.4273972602,10,2544.4165,1238.946
1921,47,2009,88,202685.7616438356,11,2491.625,1229.3044
1921,48,2009,88,200088.6657534246,12,2828.6665,1413.7065
1921,49,2010,89,197405,1,2586.625,1310.3138
1921,50,2010,89,212524.846575344,2,2278.875,1072.2864
1921,51,2010,89,226181.4821917824,3,2528.375,1117.8523
1921,52,2010,89,241301.3287671246,4,2378.9585,985.88702
1921,53,2010,89,255933.4383561648,5,2392.5,934.81335
1921,54,2010,89,271053.284931507,6,2184.1665,805.80707
1921,55,2010,89,285685.3945205491,7,2272.625,795.49921
1921,56,2010,89,300805.2410958912,8,2231.875,741.9668
1921,57,2010,89,315925.0876712333,9,2330.5,737.67487
1921,58,2010,89,330557.1972602755,10,2479.8333,750.19794
1921,59,2010,89,345677.0438356176,11,2517.375,728.24475
1921,60,2010,89,360309.1534246579,12,2844.125,789.35687
1921,61,2011,90,375429,1,11752.333,3130.3743
1921,62,2011,90,,2,9925.875,
